Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
1470,2020-11-01T22:41:20+00:00,"It would be really nice to have @DrBiden as our #FLOTUS . A woman of grace, dignity and joy. #WeNeedAChange #MajorBiden #JillBiden #sunshine #joy #BringBackTheLove",1323032403359764480,Mary Kay McCaw,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['FLOTUS', 'WeNeedAChange', 'MajorBiden', 'JillBiden', 'sunshine', 'joy', 'BringBackTheLove']",127,982,1,would really nice drbiden flotus woman grace dignity joy weneedachange majorbiden jillbiden sunshine joy bringbackthelove,it would be really nic to hav drbiden as our flotu a woman of grac dignity and joy weneedachang majorbiden jillbiden sunshin joy bringbackthelov,[]
1604,2020-11-01T22:31:30+00:00,Everyone’s Halloween pics are so cute. The household photo shoots and proud selfies are so sweet and I love to see your joy!!,1323029927176884225,shmeemy weemy 🪱,0,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",0,659,450,1,everyone ’ halloween pics cute household photo shoots proud selfies sweet love see joy,everyon ’ s halloween pic are so cut the household photo shoot and proud selfie are so sweet and i lov to see your joy,[]
1881,2020-11-01T22:12:24+00:00,i asked for no ice and the people at joy yee said they dont do that anymore ............. https://t.co/bqGGFav112,1323025122173792265,pump-jin pie 🥧,2,1,10,0,"[-87.940033, 41.644102]","Chicago, IL",0,385,795,1,asked ice people joy yee said dont anymore,i asked for no ice and the peopl at joy yee said they dont do that anymor,[]
2348,2020-11-01T21:44:56+00:00,A bit of joy in 2020. https://t.co/lDQqnbbkZ6,1323018208895471618,James Mueller,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,45,147,1,bit joy 2020,a bit of joy in 2020,[]
3206,2020-11-01T20:39:23+00:00,@monicasayshey @lupitaorozco_ literally you both are a huge bundle of joy. looking great ladies ☺️💞,1323001714220371971,jen,2,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,476,221,1,monicasayshey lupitaorozco literally huge bundle joy looking great ladies ☺️💞,monicasayshey lupitaorozco literally you both are a hug bundl of joy look great ladie ☺️💞,"['smiling_face', 'revolving_hearts']"
3584,2020-11-01T20:03:23+00:00,SOME JOY FOR THE TIMELINE! 💖💖💖💖💖💖 https://t.co/0RpgrEi2Pe,1322992653068357634,travis “its scorpio szn” fiero,0,0,13,0,"[-87.940033, 41.644102]","Chicago, IL",0,2950,1248,1,joy timeline 💖💖💖💖💖💖,som joy for the timelin 💖💖💖💖💖💖,"['sparkling_heart', 'sparkling_heart', 'sparkling_heart', 'sparkling_heart', 'sparkling_heart', 'sparkling_heart']"
4950,2020-11-01T18:18:37+00:00,I just cried tears of joy https://t.co/rrROda1P7J,1322966288042463233,Storm Grayson,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,949,738,1,cried tears joy,i just cried tear of joy,[]
5143,2020-11-01T18:03:47+00:00,tears of joy,1322962555141267458,Gabriel David,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,297,488,1,tears joy,tear of joy,[]
7911,2020-11-01T14:19:50+00:00,@_juicehuncho What a JOY!!!,1322906196936974343,KANDY🕷🎃 🦇,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,16943,931,1,juicehuncho joy,juicehuncho what a joy,[]
8189,2020-11-01T13:50:59+00:00,@EnglandRugby @tomdunn92 I’m crying with tears of joy for this Lad! Congratulations on your accomplishment!,1322898938740002817,Jumbo,0,0,2,0,"[-87.8321527, 41.816203]","Riverside, IL",0,483,1519,1,englandrugby tomdunn92 ’ crying tears joy lad congratulations accomplishment,englandrugby tomdunn92 i ’ m cry with tear of joy for thi lad congratulation on your accomplishment,[]
