Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
374,2020-06-01T23:38:04+00:00,@AyoJaguda No joy outside,1267601337610579972,Henry Pacino🇳🇬🇺🇸💥,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,167,414,1,ayojaguda joy outside,ayojaguda no joy outsid,[]
2706,2020-06-01T20:59:31+00:00,"@officialfaishop @mattholland8 @FAIreland @irelandsocshirt @YouBoysInGreen @JACC_IRELAND This would bring so much joy in such a crazy time, like the Boys in a green always have. #COYBIG",1267561437171519488,Pattrick Stanton,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",['COYBIG'],1379,1373,1,officialfaishop mattholland8 faireland irelandsocshirt youboysingreen jaccireland would bring much joy crazy time like boys green always coybig,officialfaishop mattholland8 faireland irelandsocshirt youboysingreen jaccireland thi would br so much joy in such a crazy tim lik the boy in a green alway hav coybig,[]
3938,2020-06-01T19:22:06+00:00,"Don't push me cuz I'm close to the edge, it's like a jungle out there it makes me wonder how I keep from going under. Respect is earned, all black people did was respect white privilege why can't you respect our privilege , we want love joy happiness and peace, we want privilege",1267536920046952448,evelyn brown rhymes,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,19,287,1,dont push cuz im close edge like jungle makes wonder keep going respect earned black people respect white privilege cant respect privilege want love joy happiness peace want privilege,dont push me cuz im clos to the edg its lik a jungl out ther it make me wonder how i keep from go under respect is earned all black peopl did was respect whit privileg why cant you respect our privileg we want lov joy happines and peac we want privileg,[]
5151,2020-06-01T17:52:09+00:00,@jonnymetts @giantbomb @youngerplumber @JaredTaco @nron10 @_MegaByte @gamespite The look of elation and joy on your faces is palpable. ;),1267514283832868867,Karl Castañeda,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,261,68,1,jonnymetts giantbomb youngerplumber jaredtaco nron10 megabyte gamespite look elation joy faces palpable,jonnymett giantbomb youngerplumber jaredtaco nron10 megabyt gamespit the look of elation and joy on your face is palp,[]
9197,2020-06-01T12:30:35+00:00,"Obey your leaders and submit to them, for they are keeping watch over your souls, as those who will have to give an account. Let them do this with joy and not with groaning, for that would be of no advantage to you. Hebrew 13:17 https://t.co/UdGxtIGvdv",1267433361263427584,Phil,4,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,3832,2748,1,obey leaders submit keeping watch souls give account let joy groaning would advantage hebrew 1317,obey your leader and submit to them for they are keep watch over your soul as thos who will hav to giv an account let them do thi with joy and not with groan for that would be of no advantag to you hebrew 1317,[]
10099,2020-06-01T07:52:06+00:00,"@DraftTulsi Isn't your moniker Peace, Love and Joy?",1267363276767334405,Planet Caravan,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,2153,3120,1,drafttulsi isnt moniker peace love joy,drafttulsi isnt your moniker peac lov and joy,[]
12622,2020-06-01T03:41:08+00:00,@JoyAnnReid JOY. WHAT WE DO WITH OUT YOU!!!,1267300118673399812,combpusher,0,0,0,0,"[-87.918968, 41.8332198]","Westchester, IL",0,42,498,1,joyannreid joy,joyannreid joy what we do with out you,[]
18090,2020-06-02T21:43:03+00:00,"@MrsCarver @teachergoals I remember you, Kelly! Thanks for sharing your joy for life with me (and for waiting for me at that CVS 😂)",1267934781628653570,Dwayne Reed,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,61221,173,1,mrscarver teachergoals remember kelly thanks sharing joy life waiting cvs 😂,mrscarver teachergoal i remember you kelly thank for shar your joy for lif with me and for wait for me at that cvs 😂,['face_with_tears_of_joy']
19164,2020-06-02T20:19:43+00:00,I am a source of joy for black woman that look like me.  I am a source of hope for black woman that look like me.  I am the beautiful sight people need to see in this time of trouble.  Black people be aware of people that wish to silence us when we are crying out the loudest. https://t.co/1pzF1WxvQg,1267913810398101505,thefatgirloffashion,0,5,34,1,"[-87.940033, 41.644102]","Chicago, IL",0,2714,434,1,source joy black woman look like source hope black woman look like beautiful sight people need see time trouble black people aware people wish silence us crying loudest,i am a sourc of joy for black woman that look lik me i am a sourc of hop for black woman that look lik me i am the beautiful sight peopl need to see in thi tim of troubl black peopl be awar of peopl that wish to silenc us when we are cry out the loudest,[]
24020,2020-06-02T14:40:04+00:00,@whorax That just fills you up with joy don’t it 🙄,1267828331799433216,nefarious aquarius,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3229,1623,1,whorax fills joy ’ 🙄,whorax that just fill you up with joy don ’ t it 🙄,['face_with_rolling_eyes']
32328,2020-06-03T23:48:44+00:00,Remember Being Scared That I Wouldnt See 18. I'm Finna Be 23 In 8 Days. Fuck Anything &amp; Anybody Tryna Take That Joy From Me.,1268328798988230668,HVNSNT®🖤🖤🖤,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,1046,1048,1,remember scared wouldnt see 18 im finna 23 8 days fuck anything amp anybody tryna take joy,remember be scared that i wouldnt see 18 im finna be 23 in 8 day fuck anyth amp anybody tryna tak that joy from me,[]
33395,2020-06-03T22:37:27+00:00,Street art is in our DNA. Thank you @revisecmw for bringing color and joy to our storefront to help us heal. We’re so grateful for the outpouring of love and support from all of y’all as we work to rebuild our restaurant in #RiverNorth. ❤️ #SeoulTaco #Chicago https://t.co/iaGuI4h3YJ,1268310857575854080,Seoul Taco,0,1,16,0,"[-87.940033, 41.644102]","Chicago, IL","['RiverNorth', 'SeoulTaco', 'Chicago']",11725,2058,1,street art dna thank revisecmw bringing color joy storefront help us heal ’ grateful outpouring love support ’ work rebuild restaurant rivernorth ❤️ seoultaco chicago,street art is in our dna thank you revisecmw for bring color and joy to our storefront to help us heal we ’ re so grateful for the outpour of lov and support from all of y ’ all as we work to rebuild our restaurant in rivernorth ❤️ seoultaco chicago,['red_heart']
36807,2020-06-03T18:31:09+00:00,I worried this day might not happen in 2020. JOY!!!! https://t.co/U28rmgKQgr,1268248875422318595,mary b wright,1,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,65,593,1,worried day might happen 2020 joy,i worried thi day might not happen in 2020 joy,[]
38244,2020-06-03T16:46:36+00:00,"This that feeling im that boyyyy
Anita Baker, you bring me joy",1268222564901564419,Rem,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1011,864,1,feeling im boyyyyanita baker bring joy,thi that feel im that boyyyyanita baker you br me joy,[]
40670,2020-06-03T13:34:08+00:00,"The magic of #Joy! 🌈🌞🦋

#JoyTrain
#WednesdayWisdom 
#IAm
#PureEsperanza https://t.co/7jtVrhHcmg",1268174127929704448,"PureEsperanza, NFP",0,2,4,0,"[-87.940033, 41.644102]","Chicago, IL","['Joy', 'JoyTrain', 'WednesdayWisdom', 'IAm', 'PureEsperanza']",2785,2462,1,magic joy 🌈🌞🦋joytrainwednesdaywisdom iampureesperanza,the magic of joy 🌈🌞🦋joytrainwednesdaywisdom iampureesperanza,"['rainbow', 'sun_with_face', 'butterfly']"
41589,2020-06-03T11:11:39+00:00,My friend registered to vote yesterday. It was the smallest sense of joy I’ve felt in a while.,1268138272083116032,Kate,1,0,3,0,"[-87.823716, 41.99534]","Edison Park, Chicago",0,604,512,1,friend registered vote yesterday smallest sense joy ’ felt,my friend registered to vot yesterday it was the smallest sens of joy i ’ ve felt in a whil,[]
42232,2020-06-03T06:29:22+00:00,Lol I take so much pride and joy to know that I was right all this time 😁😂. Sorry I’m just acknowledging myself.,1268067233537888257,StevieEevee,1,0,0,0,"[-87.778536, 41.650997]","Alsip, IL",0,395,2094,1,lol take much pride joy know right time 😁😂 sorry ’ acknowledging,lol i tak so much prid and joy to know that i was right all thi tim 😁😂 sorry i ’ m just acknowledg myself,"['beaming_face_with_smiling_eyes', 'face_with_tears_of_joy']"
