,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
488,2022-01-01T23:05:22+00:00,@theschmooz This brings me JOY!!!,1477415681893310473,C.W. Harris,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,6913,6422,1
602,2022-01-01T22:52:20+00:00,"May this new year be filled with happiness, joy and peace and wishing you success for passing grades, competitive test scores and acceptance letters! 
#2022NewYear #NewYear #NursingInspired #FutureNurses #NurseTwitter #prenursing #nursingschool #nurses #BlackTwitter https://t.co/tjVumI9rFi",1477412402052411392,💡👩🏾‍⚕️NursingInspired LLC👩🏾‍🏫💡,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['2022NewYear', 'NewYear', 'NursingInspired', 'FutureNurses', 'NurseTwitter', 'prenursing', 'nursingschool', 'nurses', 'BlackTwitter']",169,794,1
2841,2022-01-01T18:51:07+00:00,@obvious_shirts Thanks @obvious_shirts! Share as you wish! And keep creating and sharing the good and joy you bring to the world! Hope to see you around soon.,1477351697978736647,📸 Will Byington,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,5858,7014,1
3399,2022-01-01T17:48:04+00:00,it’s hard to truly enjoy personal milestones and achievements when the world is suffering but we tried to find as much joy as possible in 2021 https://t.co/urCAdb527Y,1477335832080048129,Michelle Bruton,3,0,16,0,"[-87.940033, 41.644102]","Chicago, IL",0,10559,3053,1
3961,2022-01-01T16:33:12+00:00,"…means that, if i work very hard at it, i may yet find some joy and peace amid so much pestilence and sorrow…🧿😌🖖🏼🤙🏼🧿",1477316991266480132,😎🌹,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,194,758,1
4004,2022-01-01T16:27:18+00:00,@iamcardib @iamcardib plus @ParisHilton!?  Joy.  Joy to the world! 🥰,1477315508076699654,Dallas Harlow 💙,1,1,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,444,1387,1
4396,2022-01-01T15:28:11+00:00,@JoyTaylorTalks Joy to the world got damnit!!!,1477300629362159622,Swaggeriphic,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,899,2352,1
5082,2022-01-01T11:55:29+00:00,"@barbiebrookeecc Yesterday was ending,but today is the start of a new fresh beginning.  Leave that hate and pain 💔from last year and start your blessing for this year. You can't make people love you, but you can love yourself. Don't let other people actions delay your destiny, happiness and joy",1477247100417097731,jason grey,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,751,405,1
5753,2022-01-01T07:12:30+00:00,Happy New Year! 2021 has been a rough ride in so many ways. May 2022 take us all to smoother roads and bring joy and peace to all!,1477175888131276801,"Theresa Walunas, PhD, FAMIA",0,1,11,0,"[-87.940033, 41.644102]","Chicago, IL",0,343,644,1
5951,2022-01-01T06:44:34+00:00,"Happy New Year!!! 🎈🎊🎆  I wish you all a year full of health, love, safety, &amp; joy 🤩 #2022NewYear https://t.co/VjTK2CZ1WF",1477168856204513280,Richie 🇵🇷,0,0,1,0,"[-88.003635, 41.812505]","Oak Brook, IL",['2022NewYear'],375,2694,1
6335,2022-01-01T06:10:31+00:00,From our fam1ly to yours...may your New year be filled with love prosperity and joy.....and two wheel excitement! Happy New Year to each and every 1 of you!  #happynewyear #officialnosmsc #numberonestunnas #fam1ly #fre1nds https://t.co/GoP0kXRgUt,1477160286285176832,Official #1 Stunnas,0,1,3,0,"[-87.940033, 41.644102]","Chicago, IL","['happynewyear', 'officialnosmsc', 'numberonestunnas', 'fam1ly', 'fre1nds']",281,1,1
6385,2022-01-01T06:07:32+00:00,Happy new year!! 2️⃣0️⃣2️⃣2️⃣!! May this year bring all the happiness and joy we all deserve! Luv y’all! 🎉🍾🥳🎆🎇 https://t.co/qLN9z5LJEQ,1477159534842068996,david jude,1,0,13,0,"[-87.826203, 41.908494]","Elmwood Park, IL",0,597,370,1
7688,2022-01-01T04:00:11+00:00,"Happy New Year 💋
2022 is almost here ...
We readyyyyy 💃🏾

#Love. #Peace. #Joy.
Wishing you #health, #wealth, #happiness, #freedom, and #perfect self-expression 🎁

#happynewyear #2022 https://t.co/XfESscJJjO",1477127486412660736,RobMakesScents,0,0,0,0,"[-87.5719, 41.76644]","Chicago, IL","['Love', 'Peace', 'Joy', 'health', 'wealth', 'happiness', 'freedom', 'perfect', 'happynewyear']",536,711,1
7702,2022-01-01T03:58:54+00:00,There’s beauty in Joy and Happiness. I’m keeping mine. #skydeckchicago @ Skydeck Chicago https://t.co/xnE265Br0a,1477127164097187843,maricia_lisa cole,0,0,0,0,"[-87.63598, 41.8787]","Chicago, IL",['skydeckchicago'],179,274,1
8555,2022-01-01T02:34:48+00:00,"A Happy New Year to my family, friends and their loved ones 🥳🎂🍾🎊🎉 ! May this new year bring good health, joy and happiness to all !! #newyearvibes #2022 @ Chicago, Illinois https://t.co/UyuHUOdrQj",1477105999811006466,Vikram Bhatia,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",['newyearvibes'],172,551,1
8907,2022-01-01T02:03:20+00:00,Tears Of Joy won the 2021 Video Of The Year on @musicspool  it's a beautiful thing to see the work I put in appreciated this is a song dedicated to Mental Health Awareness Geno Pacino  #GenoPacino #PacinoSeason2 #TearsOfJoy #MentalHealthMatters #mentalhealthawareness #Video https://t.co/KwC72709iB,1477098083624304641,Geno Pacino,0,1,4,0,"[-87.940033, 41.644102]","Chicago, IL","['GenoPacino', 'PacinoSeason2', 'TearsOfJoy', 'MentalHealthMatters', 'mentalhealthawareness', 'Video']",440,631,1
9580,2022-01-01T00:56:42+00:00,"As Octavia writes, in Dawn: “Your people contain incredible potential, but they die without using much of it.”

We get another chance to find that joy all over again in 2022. Let’s do it right.

Happy new year❤️

(fin) https://t.co/eJS6nN0Ogk",1477081311181484034,Dr. Mika,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",0,9953,2991,1
9584,2022-01-01T00:56:34+00:00,"We are living through truly extraordinary times. And while 2021 was a real rollercoaster, there were bona fide moments of joy that kept me going. 

(2/) https://t.co/XNw6PJlEUr",1477081279451463683,Dr. Mika,1,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,9953,2991,1
15402,2022-01-02T15:26:15+00:00,Great reminder that we all have the power to create joy! https://t.co/yWfbRjjFQ9,1477662530558476300,AndrewHayesPR,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,1132,3122,1
16651,2022-01-02T06:43:17+00:00,Some joy🌿 https://t.co/uirZxy8kC3,1477530920949321730,Steve Quinlan,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,207,605,1
16879,2022-01-02T06:00:51+00:00,knowing that i never annoy the boys gives me joy,1477520243421589505,dam thats crazy,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,689,537,1
17585,2022-01-02T04:15:47+00:00,I would call my boy @Ed_Johnson to talk about how good the bulls look but @wwe just stole my new years joy...first Bianca now Big E? Yeah Aight...Just say yall just throwing shit at the wall at this point @WWE. Admit AEW got yall making panic moves!,1477493803795759107,Edward Press,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,127,261,1
19730,2022-01-02T01:14:16+00:00,"Happy New Year! Here’s to 2022 and all this year can provide. Wishing you health, happiness and joy in this new year. https://t.co/eYWXNhteZw",1477448122896986116,Mike Keating,0,1,7,0,"[-87.65602, 41.89694]","Keating Law Offices, P.C.",0,2117,2493,1
