,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
1663,2020-04-01T21:52:07+00:00,This account is my only source of joy today. Thank you. https://t.co/udELglrIEN,1245469013850968064,dr. salty adarel 🐙,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,941,539,1
2885,2020-04-01T20:29:02+00:00,"There’s no such thing as fate. You create your own reality, and joy is the ultimate creator.",1245448105757155329,Carli Michelle,0,1,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,436,427,1
3527,2020-04-01T19:45:20+00:00,Isn’t this the truth! It’s also sometimes scary... who else sometimes feels this way 🙋‍♀️ We have a lot of time on our hands to do some reflecting. I hope everyone is finding the joy in this beautiful Wednesday… https://t.co/ewTnFBi3e2,1245437110565441542,love.grey.sunshine,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",0,33,76,1
5519,2020-04-01T17:33:17+00:00,We now have Easter baskets available! Chocolate is sure to bring those front line workers some joy. Visit https://t.co/2BKZMsrGfE to donate a basket to a local Chicago hospital now #hannahsbretzel #FrontLineHeroes #HealthHeroes #InThisTogether #feedthefrontline https://t.co/MAMmZOQUzi,1245403879090634754,Hannah's Bretzel,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['hannahsbretzel', 'FrontLineHeroes', 'HealthHeroes', 'InThisTogether', 'feedthefrontline']",2296,911,1
8138,2020-04-01T14:44:42+00:00,"@4UWell @ReneeDuprey Access your Joy, perceive it as your antibody and immunity in all that’s going on. 🌈💜🌎💫

#WednesdayWisdom 
#Love",1245361451692363777,"PureEsperanza, NFP",0,2,2,0,"[-87.940033, 41.644102]","Chicago, IL","['WednesdayWisdom', 'Love']",2782,2458,1
9516,2020-04-01T12:31:37+00:00,"Happy memories of my 50th birthday weekend with the family 
#chicago 
#fall
#joy
#jump @ Federal Center and Plaza https://t.co/ZPXaiF2Z8N",1245327960913018880,Albert Lew,0,0,0,0,"[-87.62966823, 41.8788928]","Chicago, IL","['chicago', 'fall', 'joy', 'jump']",175,52,1
9584,2020-04-01T12:20:51+00:00,Everyday joy. ❤ https://t.co/9jKKjs9pdw,1245325251761889283,DJ NAVARRIS,0,1,9,0,"[-87.940033, 41.644102]","Chicago, IL",0,2007,1414,1
10848,2020-04-01T06:34:35+00:00,Zoom backgrounds are the only thing spreading joy in these times.,1245238109270421505,bshlez,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,116,257,1
13675,2020-04-01T02:19:05+00:00,Because we all need a little more joy. John Krasinski and Steve Carell talking about The Office? Other Moments of Joy? I’m in! #BitOfJoy https://t.co/KTxl8hNj4G,1245173810007064577,Andrew Ford,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",['BitOfJoy'],87,274,1
14026,2020-04-01T01:57:18+00:00,"@Joy__Hart I know God is carrying me and you Joy and I hope he's carrying the other American people, but you are right I have been in a covid 19, since 2016. Is it his mouth, it's like he's menstrating all over the place, with cramps.",1245168329754644481,evelyn brown rhymes,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,19,287,1
