,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
1181,2020-09-01T22:29:40+00:00,Joy was hacked! https://t.co/x4wQ5LYV1H,1300923810066161667,todd,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,494,1900,1
2254,2020-09-01T20:57:06+00:00,Bringing joy to people an making them smile is the real currency,1300900511777001472,SedonatheLight,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,457,1082,1
7176,2020-09-01T14:18:03+00:00,My heart is literally filled with joy today literally !!!🍂🍂🍂🍁🍂🍁,1300800090156789761,KANDY🕷🎃 🦇,0,1,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,16945,930,1
7410,2020-09-01T13:54:24+00:00,I can’t believe ppl leave their cameras on during scheduled breaks. Turning my camera off gives me the most immense joy #BackToSchool,1300794138040971264,dream cheese rangoon,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['BackToSchool'],292,554,1
7790,2020-09-01T13:15:52+00:00,"This post was the inspiration for my ISSA Sunrise Flow yoga class this morning at 7am on no matter what circumstances are to wind up like a wind powered generator and stir up gratitude, joy, abundance from within and push that out into the world it felt good to harness it",1300784438108880898,𝐄𝐱𝐚𝐯𝐢𝐞𝐫 𝐏𝐨𝐩𝐞,0,1,11,0,"[-87.940033, 41.644102]","Chicago, IL",0,37565,6659,1
7928,2020-09-01T13:02:12+00:00,"@prizzotweet Go for it. Dreams are forever young. Your body may hurt a little more, but your brain rejuvenates when presented with joy.",1300780998607745024,Sylvie Sadarnac she/her,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,457,495,1
9200,2020-09-01T05:23:04+00:00,"HAPPY SEPTEMBER 1ST EVERYBODY ‼️ I PRAY THESE LAST  3 MONTHS OF 2020 BRING US ALL NOTHING BUT PEACE ☮️ , LOVE❤️ , JOY 😃, GOOD HEALTH 💪🏾, HAPPINESS 😃 &amp; WEALTH 💰IN JESUS NAME I PRAY AMEN 🙏🏾",1300665456940982272,DANNIGANG DOPECHICK,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1385,1525,1
9508,2020-09-01T04:46:39+00:00,Love this man. Gata is a man of the people. Enjoy all your joy and success. You deserve it. https://t.co/tQYX2YUcRA,1300656290834898944,Tim O'Connor,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,340,826,1
10551,2020-09-01T03:38:13+00:00,"I don't have a photo of myself in January, blissfully unaware. I do have this video of my favorite #chicago #ctaredline #el #trainconductor and he did this A LOT. He was full of joy. It's been months since I've been on the train, someone please tell me he's still doing it. https://t.co/SIm5nRihVd",1300639067944767488,"Olivia, but much less spooky (She/her)",1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL","['chicago', 'ctaredline', 'el', 'trainconductor']",659,472,1
11144,2020-09-01T03:03:55+00:00,LMFAOOOO at Joy district that one time with you and @Fall_OnLove ? Yes. Absolutely. https://t.co/BitEzTZvxj,1300630437824475136,Yanna ☥,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,2752,302,1
13550,2020-09-01T01:07:36+00:00,... and two years later he got to hug him in joy from a championship. https://t.co/qDsLxEFW1H,1300601165231656961,Tim Lenahan,0,0,1,0,"[-87.733451, 42.0191507]","Evanston, IL",0,1046,162,1
15521,2020-09-02T23:00:01+00:00,I’m like unreasonably annoyed at the players taking all the fun out of the season. #BB22 was supposed to be a bright spot in this pandemic for everyone. It was supposed to bring us joy. The players ruining it suck. Bring in wall yellers and unfair twists. It’s what they deserve.,1301293832550703109,Andy Herren,54,122,2318,7,"[-87.940033, 41.644102]","Chicago, IL",['BB22'],95234,885,1
15611,2020-09-02T22:53:04+00:00,"Spread Light...
#WednesdayVibes #Happiness #love #joy #mindset #youcreateyourreality https://t.co/WgXTjsLndf",1301292085358800896,Infinity-Lifestyle,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['WednesdayVibes', 'Happiness', 'love', 'joy', 'mindset', 'youcreateyourreality']",78,605,1
21033,2020-09-02T15:23:30+00:00,@jtothelolo So much joy in my face 🥴🥺,1301178946919313408,AL,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,317,385,1
21272,2020-09-02T15:06:54+00:00,"The Powerful Blessings of Blessing Life🌟 #IAm

RT #Love, #Peace &amp; #Joy 
🌈💜🌎💫

#PureEsperanza https://t.co/Q2X0xMLWRm",1301174769170214912,"PureEsperanza, NFP",0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['IAm', 'Love', 'Peace', 'Joy', 'PureEsperanza']",2785,2462,1
21583,2020-09-02T14:42:43+00:00,"Indubitably ✨💗💫

RT #Joy , brother @aumkeshavsharma 💫

#WednesdayWisdom https://t.co/WlEWgbsSgV",1301168684547874817,"PureEsperanza, NFP",0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL","['Joy', 'WednesdayWisdom']",2785,2462,1
21900,2020-09-02T14:14:07+00:00,"It brings me great joy to sit here today and say I told you so. @ihapp_1 has arrived. #Cubs 

https://t.co/s2cesQfD5s",1301161487319404544,John Stocco,0,0,3,0,"[-87.855052, 41.9999939]","Niles, IL",['Cubs'],860,313,1
24331,2020-09-02T04:47:19+00:00,One last joy ride down Lake Shore Drive &amp; I’m gone... finna do the dash.,1301018845784702976,Shadow Asé🪞,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,149,117,1
26337,2020-09-02T02:21:21+00:00,This brings me joy! My cousin found these pics of my granny Mrs. Walter Mae Hoard my moms mom for me in her mother’s photos. One of them I’m definitely using for my cookbook. The pic on the far right really makes my… https://t.co/ENYWS3V5ba,1300982115157176321,Fred L. Miller Jr.,0,0,0,0,"[-87.67, 42.01]","Chicago, IL",0,597,871,1
26588,2020-09-02T02:04:52+00:00,@TigerClaw_54321 @MSNBC Trump is mentally ill joy is fine,1300977965174530051,kelo,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,26,214,1
