,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
126,2020-01-01T23:48:51+00:00,"Just wanted to wish ya'll a very Happy 2020. Thank you for making 2019 a wonderful journey. May this new year bring you much joy, peace, happiness, love, prosperity, good health, wealth and blessings.
#happynewyear… https://t.co/d1jPRoGSjk",1212521094059569152,John Erick MO,0,0,0,0,"[-87.6461792, 41.90023277]","Chicago, IL",['happynewyear'],269,4165,1
948,2020-01-01T22:35:37+00:00,"The sun sets on the first day of 2020...flaming out with style. Happy New Year, Everyone! May your lives light up with joy, with promise, with love...Amen. #gratefulheart #newyearsday2020… https://t.co/Gdnsn3UlhW",1212502664262504448,Ev McCaffrey Pape,0,0,0,0,"[-87.9399, 41.9011]","Elmhurst, IL","['gratefulheart', 'newyearsday2020']",238,1799,1
1143,2020-01-01T22:20:07+00:00,"Sending love and joy to our Mary Meyer School families and friends! Happy New Year!
#2020 @ Mary Meyer School https://t.co/P4KQlNo6OZ",1212498765459931137,MaryMeyerSchool,0,0,0,0,"[-87.64085, 41.93344]","Chicago, IL",0,161,62,1
1742,2020-01-01T21:34:32+00:00,"@AudrinaLane happy happy joy joy , from Chicago's south side, Illinois..",1212487293359022081,Donald Kubeczko,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1633,4991,1
4652,2020-01-01T18:14:20+00:00,"2020, taking my joy back. Tell Satan, I want him to know it was me. #2020 #thehand @ Virgin Hotels Chicago https://t.co/6CgXWGfdhF",1212436913753214976,Wood Harris,0,0,0,0,"[-87.62603, 41.8860699]","Chicago, IL",['thehand'],1460,1303,1
4785,2020-01-01T18:06:29+00:00,"But through all of the bad stuff, there was still a lot of good. I’ve really loved getting deeper into the podcasting world. The @ARIYNBF crew and listeners have all been so kind and so fun and supportive. Truly been a joy, so, thank you for having me, @AlisonRosen!",1212434936134819847,Tony Thaxton,2,0,30,0,"[-87.940033, 41.644102]","Chicago, IL",0,11366,629,1
5602,2020-01-01T17:12:18+00:00,"Our teachers have worked so hard to bring much joy, love, learning, and laughter to @FairviewSD72 this school year! I can’t wait to see what’s in store for 2020! Happy New Year! https://t.co/RzJBlv8Slc",1212421301228453888,Colleen Larkin,0,2,11,0,"[-87.780869, 42.0032]","Skokie, IL",0,235,404,1
5682,2020-01-01T17:05:42+00:00,"So much for turning over a new leaf....Hope 2020 brings you the joy and happiness that you seek.  May we learn, grow and be better together.  Happy New Year. https://t.co/CR7F2GvLxp",1212419639898247168,Jay Koyner,2,0,33,0,"[-87.940033, 41.644102]","Chicago, IL",0,2297,1028,1
5910,2020-01-01T16:49:40+00:00,I hope this video brings tears of joy to you as well. THIS IS WHY I LOVE #TECHNOLOGY.  Boy receives new 3D-printed hands for #Christmas https://t.co/Kqy1fyAKVV via @Q13FOX  #3Dprinting #stemchristmas,1212415605334257664,Garrett Gross,0,0,0,0,"[-87.8615841, 41.805304]","Brookfield, IL","['TECHNOLOGY', 'Christmas', '3Dprinting', 'stemchristmas']",664,613,1
5969,2020-01-01T16:45:17+00:00,"To our family and friends all over the Globe, we send you Peace, Joy and Love as we enter a new decade.  There is so much to hope for on this Planet. God helping us, we shall continue to… https://t.co/HnmiMJps6A",1212414504048504833,Olufunmilayo Olopade,0,0,3,0,"[-87.59, 41.8]","Chicago, IL",0,653,136,1
6312,2020-01-01T16:19:59+00:00,"I love this article on joy. So many tidbits of good (and not the usual) advice in here! “In fact, the first step towards a joyful life may be letting go of your ideas of what that looks like – and recognising that it is down to you.” #makejoyhappen #happynewyear2020 #JOY https://t.co/EuuqvszQMb",1212408136604237824,Dr. Tina Owen-Moore,0,3,9,1,"[-87.940033, 41.644102]","Chicago, IL","['makejoyhappen', 'happynewyear2020', 'JOY']",754,1625,1
6388,2020-01-01T16:11:54+00:00,"2020, taking my joy back. Tell Satan, I want him to know it was me. #2020 #thehand @ Virgin Hotels Chicago https://t.co/OyzX9aEKEH",1212406101154525184,Wood Harris,0,0,0,0,"[-87.62603, 41.8860699]","Chicago, IL",['thehand'],1460,1303,1
6888,2020-01-01T15:20:27+00:00,"Happy New Year from #TheRichardsons 
May this year bring you love, joy, peace, and prosperity! 💋 @ The Metropolitan Club https://t.co/vNSH9hC4iR",1212393151320621057,The Headliner,0,0,0,0,"[-87.63626796, 41.87874029]","Chicago, IL",['TheRichardsons'],165,315,1
7117,2020-01-01T14:49:04+00:00,"What a year! Here’s to even more joy and love in #2020. Happy New Year! #topnine @ Old Irving Park, Chicago https://t.co/qjJ4XiEEZz",1212385254360702976,Dave Maggio,0,0,0,0,"[-87.73978091, 41.94957243]","Chicago, IL",['topnine'],260,551,1
7213,2020-01-01T14:36:23+00:00,"@h0rch4t4_ Aww thank you boo🥺💗 I appreciate you sm! I hope 2020 is filled with blessings, peace, and joy for you as well! ✨",1212382062717603840,✨S E L E N A✨,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,914,980,1
7414,2020-01-01T13:59:30+00:00,There’s No joy in that!!! You got to believe it before you see it!! Faith without works is dead!!! 🙏🏾😘💜 https://t.co/nnkSoIYOFI,1212372780307636225,Carissa Davis,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,86,203,1
7453,2020-01-01T13:50:33+00:00,"┏━━┓┏━━┓┏━━┓┏━━┓
┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃
┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃
May this year be filled with joy &amp; love!
┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃
┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃
┗━━┛┗━━┛┗━━┛┗━━┛
Happy New Year!!!",1212370528595595264,Priya Bathija 😷,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,443,781,1
7547,2020-01-01T13:29:49+00:00,"For me 2018 was joy, 2019 was wonder (although I did a lot of interviews about forgiveness), 2020 will be about appreciation ... https://t.co/FE3ZgKH2HF",1212365312156413953,Michael P. Smith,0,0,2,0,"[-87.733451, 42.0191507]","Evanston, IL",0,197,615,1
7644,2020-01-01T13:01:11+00:00,@1littleBIGMOUTH And to you beautiful! May 2020 bring more moments of joy than ever before! https://t.co/fMF6NzuLnm,1212358107109711872,Manilan Houle,1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,6246,5690,1
7660,2020-01-01T12:55:06+00:00,"Happy New Year. 

May your dreams become intentions and your actions bring you Joy. @ Chicago, Illinois https://t.co/5nyx5MbP1q",1212356575983108096,GF Mom Certified,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",0,1534,583,1
7747,2020-01-01T11:59:16+00:00,"@carlreiner May God bless you with continued health and happiness this year.
May your life continue to be filled with fulfillment and creativity!
I grew up with you. Thank you for the joy and laughter you've brought me. 😁😆❤☝️",1212342524943241216,womanofgod3,0,0,0,0,"[-87.733451, 42.0191507]","Evanston, IL",0,1893,5002,1
8032,2020-01-01T09:45:45+00:00,A year full of happiness &amp; joy 🤍,1212308920905224192,محمّد,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1287,946,1
8112,2020-01-01T09:20:00+00:00,Yo i am too lit baby happy 2020. May you all experience nothing but joy and happiness this decade,1212302442190258176,Festive Temo 🎄,0,0,3,1,"[-87.940033, 41.644102]","Chicago, IL",0,152,136,1
9532,2020-01-01T06:35:42+00:00,"Wishing ya'll a very merry &amp; happy new year. May 2020 bring ya much joy, peace, happiness, love, prosperity &amp; blessings. 
#happynewyear #2020 #newyear #barbara #walters #barbarawalters #barbarawalters2020 @ Chicago… https://t.co/PLLP7fsr84",1212261096909950976,John Erick MO,0,0,0,0,"[-87.6461792, 41.90023277]","Chicago, IL","['happynewyear', 'newyear', 'barbara', 'walters', 'barbarawalters', 'barbarawalters2020']",269,4165,1
9740,2020-01-01T06:20:38+00:00,"Dmitri and I wish you all a 2020 full of love, joy, purpose, and peace.

#HappyNewYear2020
#bostonterriersofinstagram @ Uptown, Chicago https://t.co/7IKJuHZfkI",1212257304474726401,Jacob Karaca,0,0,1,0,"[-87.66, 41.97]","Chicago, IL","['HappyNewYear2020', 'bostonterriersofinstagram']",37,93,1
