Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
679,2020-12-01T23:02:55+00:00,@deelanier I got to catch some of it! So happy! You were amazing &amp; inspiring as usual friend. 🤩 Let’s keep that joy &amp; awe our students have inside them when they’re younger for as long as we possibly can! @LINC_PD #linkstream2020 https://t.co/lkZoGDZkX2,1333909473346334721,maria arfanakis (galanis),1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['linkstream2020'],14272,6991,1,deelanier got catch happy amazing amp inspiring usual friend 🤩 let ’ keep joy amp awe students inside ’ younger long possibly lincpd linkstream2020,deelanier i got to catch som of it so happy you wer amaz amp inspir as usual friend 🤩 let ’ s keep that joy amp awe our student hav insid them when they ’ re younger for as long as we possibly can lincpd linkstream2020,['star-struck']
1190,2020-12-01T22:09:21+00:00,"Giving is a #joy. With spirit, knowledge, time or finance. https://t.co/zwDyWLfcNW",1333895989736972295,Teny Oded Gross,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['joy'],3125,4985,1,giving joy spirit knowledge time finance,giv is a joy with spirit knowledg tim or financ,[]
3028,2020-12-01T19:33:28+00:00,🎶 The pride and joy of Illinois! Thank you @TeamILLacrosse !!!! https://t.co/Rlcaq3bdsa https://t.co/Hifd2FcNFA,1333856762760470530,OWLS LACROSSE,0,4,9,0,"[-87.940033, 41.644102]","Chicago, IL",0,1695,1512,1,🎶 pride joy illinois thank teamillacrosse,🎶 the prid and joy of illinoi thank you teamillacross,['musical_notes']
3129,2020-12-01T19:25:50+00:00,"We’re continuing to spread 🎄HOLIDAY JOY ⛄️throughout CYBERWEEK—enjoy 💸 20% off w/Code: NRLHOLIDAY 🎁 
.
Catch our interview TODAY at 3p CT w/ @cyndanielsco &amp; @blackchristmasexpo !!!!!🛍
.
#blackchristmasexpo #nrl #skincare #holidaygifts #shopsmall #clearskin #maskne #acne https://t.co/7JFjSp0hpJ",1333854839604977673,Natural Radiant Life,0,1,2,1,"[-87.940033, 41.644102]","Chicago, IL","['blackchristmasexpo', 'nrl', 'skincare', 'holidaygifts', 'shopsmall', 'clearskin', 'maskne', 'acne']",26,20,1,’ continuing spread 🎄holiday joy ⛄️throughout cyberweek—enjoy 💸 20 wcode nrlholiday 🎁 catch interview today 3p ct w cyndanielsco amp blackchristmasexpo 🛍blackchristmasexpo nrl skincare holidaygifts shopsmall clearskin maskne acne,we ’ re continu to spread 🎄holiday joy ⛄️throughout cyberweek—enjoy 💸 20 off wcod nrlholiday 🎁 catch our interview today at 3p ct w cyndanielsco amp blackchristmasexpo 🛍blackchristmasexpo nrl skincar holidaygift shopsmall clearskin maskn acn,"['Christmas_tree', 'snowman_without_snow', 'money_with_wings', 'wrapped_gift', 'shopping_bags']"
5256,2020-12-01T16:30:55+00:00,DECEMBER WILL BE A BREATHTAKING MONTH🙌🏽 YOUR BLESSINGS WILL FLOURISH😌 EVERYTHING WILL BE MASSIVELY IMPROVE AND JOY WILL MANIFEST LIKE NEVER BEFORE OVER YOUR LIFE🙏🏽🤎‼️,1333810820489371648,kayomide mom💙,0,1,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,454,767,1,december breathtaking month🙌🏽 blessings flourish😌 everything massively improve joy manifest like never life🙏🏽🤎‼️,december will be a breathtak month🙌🏽 your blessing will flourish😌 everyth will be massively improv and joy will manifest lik never befor over your life🙏🏽🤎‼️,"['raising_hands_medium_skin_tone', 'relieved_face', 'folded_hands_medium_skin_tone', 'brown_heart', 'double_exclamation_mark']"
5631,2020-12-01T16:06:00+00:00,Hope you’re all doing ok and finding even just a sliver of #joy this #holiday. #believe @ Jack Frost Winter Village https://t.co/0VVuKsCcYJ,1333804551204261888,marcella raymond,0,0,0,0,"[-87.66046665, 41.90836253]","Chicago, IL","['joy', 'holiday', 'believe']",2753,792,1,hope ’ ok finding even sliver joy holiday believe jack frost winter village,hop you ’ re all do ok and find even just a sliver of joy thi holiday believ jack frost winter villag,[]
6160,2020-12-01T15:30:40+00:00,"May this month be filled w joy, bliss, love and gratitude",1333795658269028368,PRIMA DONNA,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1332,683,1,may month filled w joy bliss love gratitude,may thi month be filled w joy blis lov and gratitud,[]
6439,2020-12-01T15:02:26+00:00,"Bring real joy, not the fake kind https://t.co/DKWXbv4vTG",1333788552644022272,𝐄𝐱𝐚𝐯𝐢𝐞𝐫 𝐏𝐨𝐩𝐞,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,37578,6660,1,bring real joy fake kind,br real joy not the fak kind,[]
7319,2020-12-01T12:59:10+00:00,"@Br00klynYid Ah man, making me realize how much I failed with the advent calendars this year 😂😞😂😞😂. Oh well, off to hand them out. Can’t wait to see the joy of their faces😂",1333757532330930176,Thomas Chadwick,1,0,1,0,"[-87.733451, 42.0191507]","Evanston, IL",0,444,1142,1,br00klynyid ah man making realize much failed advent calendars year 😂😞😂😞😂 oh well hand ’ wait see joy faces😂,br00klynyid ah man mak me realiz how much i failed with the advent calendar thi year 😂😞😂😞😂 oh well off to hand them out can ’ t wait to see the joy of their faces😂,"['face_with_tears_of_joy', 'disappointed_face', 'face_with_tears_of_joy', 'disappointed_face', 'face_with_tears_of_joy', 'face_with_tears_of_joy']"
8610,2020-12-01T05:39:58+00:00,"Joy and gratitude: both finding it in the everyday and returning to it, has so clearly become my life motto. Practice daily. 💗",1333647005147664384,Hay comida en la casa,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,955,1852,1,joy gratitude finding everyday returning clearly become life motto practice daily 💗,joy and gratitud both find it in the everyday and return to it has so clearly becom my lif motto practic daily 💗,['growing_heart']
