Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
3255,2021-08-01T18:48:16+00:00,"Yesterday, @oohdaniboi and I binge-watched the whole week of @levarburton hosting @Jeopardy and every minute was a genuine, warm joy to see him behind the host's podium. 

Everyone go watch it if you can. ♥️",1421905637676621824,Tony Coppoletta,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,262,280,1,yesterday oohdaniboi bingewatched whole week levarburton hosting jeopardy every minute genuine warm joy see behind hosts podium everyone go watch ♥️,yesterday oohdaniboi and i bingewatched the whol week of levarburton host jeopardy and every minut was a genuin warm joy to see him behind the host podium everyon go watch it if you can ♥️,['heart_suit']
3739,2021-08-01T18:03:37+00:00,"LORD GOD CAN THE WHOLE MONTH OF AUGUST BE FILLED WITH NOTHING BUT LOVE,JOY, PROTECTION &amp; PEACE IN JESUS NAME I PRAY AMEN 🙏🏾",1421894401819877377,DANNIGANG DOPECHICK,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1383,1525,1,lord god whole month august filled nothing lovejoy protection amp peace jesus name pray amen 🙏🏾,lord god can the whol month of august be filled with noth but lovejoy protection amp peac in jesu nam i pray amen 🙏🏾,['folded_hands_medium-dark_skin_tone']
4049,2021-08-01T17:34:58+00:00,I’ve been working so damn hard. It’s time to work smart! The stress associated with this industry gives me joy and pain 🥲,1421887193342259213,"Occasions by Jade, LLC",0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,29,19,1,’ working damn hard ’ time work smart stress associated industry gives joy pain 🥲,i ’ ve been work so damn hard it ’ s tim to work smart the stres associated with thi industry give me joy and pain 🥲,['smiling_face_with_tear']
6988,2021-08-01T11:40:15+00:00,I want the joy &amp; spirit of the Korean high jumper 🥺,1421797922644107264,AB,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,409,782,1,want joy amp spirit korean high jumper 🥺,i want the joy amp spirit of the korean high jumper 🥺,['pleading_face']
7923,2021-08-01T05:04:10+00:00,"@littleidiotgirI THEY REALLY ARENT! They got you out here lookin like Anya Taylor-Joy with a STONG, square jaw and I wont stand for it!!!",1421698246624350214,Kahlua,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,783,927,1,littleidiotgiri really arent got lookin like anya taylorjoy stong square jaw wont stand,littleidiotgiri they really arent they got you out her lookin lik anya taylorjoy with a stong squar jaw and i wont stand for it,[]
17219,2021-08-02T12:56:38+00:00,Im so annoyed by not getting this Spider-man NWH trailer it kills the joy for other projects 🤬🤬 https://t.co/h0cdAwN2V8,1422179534502309890,✪🐐ÝőûŤúbēŕ 💯✪,1,0,3,1,"[-87.940033, 41.644102]","Chicago, IL",0,540,1088,1,im annoyed getting spiderman nwh trailer kills joy projects 🤬🤬,im so annoyed by not gett thi spiderman nwh trailer it kill the joy for other project 🤬🤬,"['face_with_symbols_on_mouth', 'face_with_symbols_on_mouth']"
18723,2021-08-02T03:59:27+00:00,"All the joy, #usmnt sparking all the joy this evening. #ThisIsOurs #OurFinal #CopaOro2021 https://t.co/wiWvtrdqEi",1422044347869106180,Pattrick Stanton,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL","['usmnt', 'ThisIsOurs', 'OurFinal', 'CopaOro2021']",1378,1370,1,joy usmnt sparking joy evening thisisours ourfinal copaoro2021,all the joy usmnt spark all the joy thi even thisisour ourfinal copaoro2021,[]
18745,2021-08-02T03:57:14+00:00,"@BJRippel @headdturnerr @theglobepub So much joy, USA, twice in one summer",1422043790915870722,Pattrick Stanton,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1378,1370,1,bjrippel headdturnerr theglobepub much joy usa twice one summer,bjrippel headdturnerr theglobepub so much joy usa twic in one summer,[]
20597,2021-08-02T00:57:46+00:00,"Noticing everybody that has a scandal themselves are taking JOY in the sex tape of #colbyMitchell 
And they’re the ones keeping it going. The rest of us DON’T CARE!",1421998623823433729,DarylJF,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['colbyMitchell'],123,580,1,noticing everybody scandal taking joy sex tape colbymitchell ’ ones keeping going rest us ’ care,notic everybody that has a scandal themselve are tak joy in the sex tap of colbymitchell and they ’ re the one keep it go the rest of us don ’ t car,[]
27273,2021-08-03T14:26:37+00:00,"Happy Birthday to the man, the myth, the legend, the Goat and the man who has brought me more joy in my sports life than any other! I don't support that other teams colors but will always support you! Happy Birthday @TomBrady https://t.co/EmSQ4LZZC2",1422564567473852424,Jameson 🏈⚾️🍻,0,2,24,0,"[-87.940033, 41.644102]","Chicago, IL",0,2884,943,1,happy birthday man myth legend goat man brought joy sports life dont support teams colors always support happy birthday tombrady,happy birthday to the man the myth the legend the goat and the man who has brought me mor joy in my sport lif than any other i dont support that other team color but will alway support you happy birthday tombrady,[]
27437,2021-08-03T14:08:45+00:00,"Your moment of Zen - from Japanese Gardens, Jackson Park.  Find joy in your day. https://t.co/y50zu7gGdi",1422560071595216900,Andrew Stephenson,1,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,824,369,1,moment zen japanese gardens jackson park find joy day,your moment of zen from japanes garden jackson park find joy in your day,[]
28867,2021-08-03T06:30:31+00:00,"""Little Girl"" is a story of abundance, acceptance and joy. Have you listened to it yet? Link here to stream our song &amp; read more about it in our @RollingStoneIN feature: https://t.co/6p1plmly8N
⁣⁠⁠
More on abundance, ecology &amp; art, you say? Subscribe to our newsletter🌻 https://t.co/Ks34f9IV5x",1422444754667778051,LIL IDLI 🌱🎵,0,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,33,443,1,little girl story abundance acceptance joy listened yet link stream song amp read rollingstonein feature ⁣⁠⁠more abundance ecology amp art say subscribe newsletter🌻,littl girl is a story of abundanc acceptanc and joy hav you listened to it yet link her to stream our song amp read mor about it in our rollingstonein featur ⁣⁠⁠mor on abundanc ecology amp art you say subscrib to our newsletter🌻,['sunflower']
29538,2021-08-03T04:21:47+00:00,"@DineshDSouza You're seriously a bad person, get help you nobody. Finding joy in others pain is like textbook sociopathic behaivior.",1422412355045150721,Joe Artese,0,0,0,0,"[-87.825792, 42.022717]","Morton Grove, IL",0,44,718,1,dineshdsouza youre seriously bad person get help nobody finding joy others pain like textbook sociopathic behaivior,dineshdsouza your seriously a bad person get help you nobody find joy in other pain is lik textbook sociopathic behaivior,[]
29621,2021-08-03T04:09:59+00:00,Maichard is our happiness and joy we are proud to be a part of this fandom #TBADNBoycottMZETxAPT148,1422409386920644609,chicagoMom/AdNforever,0,102,31,0,"[-87.940033, 41.644102]","Chicago, IL",['TBADNBoycottMZETxAPT148'],86,126,1,maichard happiness joy proud part fandom tbadnboycottmzetxapt148,maichard is our happines and joy we are proud to be a part of thi fandom tbadnboycottmzetxapt148,[]
34691,2021-08-04T19:54:05+00:00,"@SquirrelGirl67 Watching them do the drop and roll brings me so much joy 🥰 
Its how they express happiness 🐰",1423009365565521927,StrangeLounge,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,163,479,1,squirrelgirl67 watching drop roll brings much joy 🥰 express happiness 🐰,squirrelgirl67 watch them do the drop and roll bring me so much joy 🥰 its how they expres happines 🐰,"['smiling_face_with_hearts', 'rabbit_face']"
35958,2021-08-04T17:34:06+00:00,Don’t even have time for nothing that  doesn’t bring me joy I’ll just tell you have a nice day.,1422974135697825799,Señor Perras,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,302,358,1,’ even time nothing ’ bring joy ’ tell nice day,don ’ t even hav tim for noth that doesn ’ t br me joy i ’ ll just tell you hav a nic day,[]
36165,2021-08-04T17:13:30+00:00,Lunchtime listen: @VivaBananarama True Confessions. With the 35th anniversary of the More Than Physical single I gave the album a spin. So much joy on this one. #music #lunch #lunchtime #rediscoveryourself #rediscoveringmusic #bananarama #trueconfessions #80s https://t.co/hHPqcCdY9z,1422968952901316617,Robbie,0,0,1,0,"[-87.9203352, 41.911259]","Franklin Park, IL","['music', 'lunch', 'lunchtime', 'rediscoveryourself', 'rediscoveringmusic', 'bananarama', 'trueconfessions', '80s']",118,331,1,lunchtime listen vivabananarama true confessions 35th anniversary physical single gave album spin much joy one music lunch lunchtime rediscoveryourself rediscoveringmusic bananarama trueconfessions 80s,lunchtim listen vivabananarama tru confession with the 35th anniversary of the mor than physical singl i gav the album a spin so much joy on thi one music lunch lunchtim rediscoveryourself rediscoveringmusic bananarama trueconfession 80s,[]
36232,2021-08-04T17:05:25+00:00,Roddy Rich replaced Dahater at Day N Vegas and you can’t tell me there’s anything that could bring me more joy right now.,1422966919536205825,Heaux,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,785,992,1,roddy rich replaced dahater day n vegas ’ tell ’ anything could bring joy right,roddy rich replaced dahater at day n vega and you can ’ t tell me ther ’ s anyth that could br me mor joy right now,[]
37342,2021-08-04T15:08:49+00:00,"MULTIPLE TEASERS ??? OH SO WE’RE GETTING FEDDDDDD 

#JOY #조이  #RedVelvet @RVsmtown #QUEENDOM https://t.co/auQ0DMN2K0",1422937573668884485,nora - ssw,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['JOY', '조이', 'RedVelvet', 'QUEENDOM']",1030,910,1,multiple teasers oh ’ getting fedddddd joy 조이 redvelvet rvsmtown queendom,multipl teaser oh so we ’ re gett fedddddd joy 조이 redvelvet rvsmtown queendom,[]
38512,2021-08-04T12:46:39+00:00,"As a true hip-hop head, to be able to love someone who knows hip-hop and rap significantly MORE than me truly makes me feel an overwhelming sense of joy...",1422901797782495234,Krista J. Hayes,1,0,11,0,"[-87.940033, 41.644102]","Chicago, IL",0,2308,627,1,true hiphop head able love someone knows hiphop rap significantly truly makes feel overwhelming sense joy,as a tru hiphop head to be  to lov someon who know hiphop and rap significantly mor than me truly make me feel an overwhelm sens of joy,[]
39571,2021-08-04T05:05:49+00:00,"Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope, throu…
https://t.co/SA8Nvuvnrt",1422785827382472704,Pastor HPJamison,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,883,734,1,god hope fill joy peace believing ye may abound hope throu…,now the god of hop fill you with all joy and peac in believ that ye may abound in hop throu…,[]
40738,2021-08-04T03:05:46+00:00,"@sheelgetshyphy One thing that brings me momentary joy as a parent: When kids come up and announce their age, I make sure to ask if they have a job yet. 

When they say no, it’s important to look a little confused.",1422755612014821378,A-riff-on Frankenstein,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,2008,4051,1,sheelgetshyphy one thing brings momentary joy parent kids come announce age make sure ask job yet say ’ important look little confused,sheelgetshyphy one th that bring me momentary joy as a parent when kid com up and announc their age i mak sur to ask if they hav a job yet when they say no it ’ s important to look a littl confused,[]
42355,2021-08-04T01:05:19+00:00,My niece is taller than me. #dgreunion2021 @ Joy Yee Noodles https://t.co/AeedpWG897,1422725300878782464,Heather J Ulangca,0,0,0,0,"[-87.63391, 41.85412]","Chicago, IL",['dgreunion2021'],214,749,1,niece taller dgreunion2021 joy yee noodles,my niec is taller than me dgreunion2021 joy yee noodle,[]
43703,2021-08-05T22:53:06+00:00,"Talking MORE JOY! from @duranduran
and @CHAIofficialJPN in an impromptu episode of @EncoresClub! #duranduran https://t.co/5LAtSaLWZz",1423416805847093251,Velvet Rebel Music,0,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",['duranduran'],898,2094,1,talking joy duranduranand chaiofficialjpn impromptu episode encoresclub duranduran,talk mor joy from duranduranand chaiofficialjpn in an impromptu episod of encoresclub duranduran,[]
43959,2021-08-05T22:21:49+00:00,"I really dig No Joy. But now I keep calling the new @duranduran song No Joy instead of More Joy! 
https://t.co/cksBmRQDbc",1423408932714864642,Velvet Rebel Music,1,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,898,2094,1,really dig joy keep calling new duranduran song joy instead joy,i really dig no joy but now i keep call the new duranduran song no joy instead of mor joy,[]
44266,2021-08-05T21:43:49+00:00,Creating without joy is a dead creation,1423399369349419009,Chanted,0,0,0,0,"[-87.833698, 41.850023]","Forest Park, IL",0,1633,2243,1,creating without joy dead creation,creat without joy is a dead creation,[]
50346,2021-08-05T04:09:28+00:00,"No winning putt, buzzer beater, walk-off, TD, goal, or even championship/medal can provide the joy &amp; peace that I receive from Christ's forgiveness, salvation, and eternal hope.",1423134031156334592,Jeremy Bialek,0,1,18,0,"[-87.820078, 41.6457104]","Palos Heights, IL",0,1061,1610,1,winning putt buzzer beater walkoff td goal even championshipmedal provide joy amp peace receive christs forgiveness salvation eternal hope,no winn putt buzzer beater walkoff td goal or even championshipmedal can provid the joy amp peac that i receiv from christ forgivenes salvation and eternal hop,[]
54025,2021-08-06T22:33:09+00:00,@JoyceHutchens3 Why you a Cubs fan in the 1st place Joy ?,1423774170282962946,#RipRemDog .,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,867,1211,1,joycehutchens3 cubs fan 1st place joy,joycehutchens3 why you a cub fan in the 1st plac joy,[]
55496,2021-08-06T20:37:12+00:00,"🎤 God is the JOY and the STRENGTH of my life. He moves all pain, misery, and strife. He promised to keep me, never to leave me, never - ever fall short of His word! 

God is! 
📸: @ambermariegreen_photography https://t.co/o7r9tiFw23",1423744992963612672,PurplePathbyDrJ,0,0,1,0,"[-87.632496, 41.883222]","Chicago, IL",0,592,1212,1,🎤 god joy strength life moves pain misery strife promised keep never leave never ever fall short word god 📸 ambermariegreenphotography,🎤 god is the joy and the strength of my lif he move all pain misery and strif he promised to keep me never to leav me never ever fall short of his word god is 📸 ambermariegreenphotography,"['microphone', 'camera_with_flash']"
58249,2021-08-06T16:12:37+00:00,@vermillionpearl Pure joy,1423678407032905735,Abraxas,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,232,1007,1,vermillionpearl pure joy,vermillionpearl pur joy,[]
58475,2021-08-06T15:51:36+00:00,"All of this makes my day, but it’s Dave singing at the end that truly brought me joy! Sound all the way up! https://t.co/KXVJDaPzjZ",1423673119366057997,Laurence Holmes,13,12,150,1,"[-87.940033, 41.644102]","Chicago, IL",0,79715,1068,1,makes day ’ dave singing end truly brought joy sound way,all of thi make my day but it ’ s dav sing at the end that truly brought me joy sound all the way up,[]
59980,2021-08-06T13:11:09+00:00,Crying with joy! Love @allysonfelix so much. #Olympics #OlympicHERstory https://t.co/rInQizcHR3,1423632740063322115,A Human Being,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL","['Olympics', 'OlympicHERstory']",1426,1320,1,crying joy love allysonfelix much olympics olympicherstory,cry with joy lov allysonfelix so much olympic olympicherstory,[]
60780,2021-08-06T07:28:06+00:00,@naidollasign_ Joy kept pushing sadness away like girl sadness is still needed 😭 sadness literally saved everyone,1423546406892081155,kanao ♡ #SaveSheikhJarrah,1,0,0,0,"[-87.798798, 41.68331]","Oak Lawn, IL",0,1339,977,1,naidollasign joy kept pushing sadness away like girl sadness still needed 😭 sadness literally saved everyone,naidollasign joy kept push sadnes away lik girl sadnes is still needed 😭 sadnes literally saved everyon,['loudly_crying_face']
60797,2021-08-06T07:15:23+00:00,rewatched inside out and damn joy fr was the problem the entire time,1423543209431642113,kanao ♡ #SaveSheikhJarrah,1,0,1,0,"[-87.798798, 41.68331]","Oak Lawn, IL",0,1339,977,1,rewatched inside damn joy fr problem entire time,rewatched insid out and damn joy fr was the problem the entir tim,[]
62329,2021-08-06T03:02:43+00:00,"Dinner = pausing to celebrate David’s 24th birthday 🥳 You bring our sunshine, our energy and joy #letscelebrate #birthdaycelebration #birthday #familycelebrations @ Hinsdale, Illinois https://t.co/JNIlJ6mQdf",1423479621274775555,Sylvia Klinger,0,0,1,0,"[-87.92805556, 41.80055556]","Hinsdale, IL","['letscelebrate', 'birthdaycelebration', 'birthday', 'familycelebrations']",2605,2576,1,dinner pausing celebrate david ’ 24th birthday 🥳 bring sunshine energy joy letscelebrate birthdaycelebration birthday familycelebrations hinsdale illinois,dinner paus to celebrat david ’ s 24th birthday 🥳 you br our sunshin our energy and joy letscelebrat birthdaycelebration birthday familycelebration hinsdal illinoi,['partying_face']
63667,2021-08-06T01:04:14+00:00,"@hoosiercub @suicidexjockeys Corrado’s mine, but I’ve never been woman enough to own one. 

My second VW, a ‘91 Montana Green GTI, was my pride and joy.",1423449805506945024,Cherise Threewitt,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,765,1894,1,hoosiercub suicidexjockeys corrado ’ mine ’ never woman enough one second vw ‘ 91 montana green gti pride joy,hoosiercub suicidexjockey corrado ’ s min but i ’ ve never been woman enough to own one my second vw a ‘ 91 montana green gti was my prid and joy,[]
