,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
1327,2021-09-01T21:41:51+00:00,"This makes me furious! I remember when R v W decision came down. I was 12, and I remember my mother crying tears of joy as she explained it's importance to me. Glad she is not alive to see what is happening now. Sad day. 😢 https://t.co/aerceICPUE",1433183346683752450,"Anne Sperling, PhD, ATSF",0,0,20,0,"[-87.940033, 41.644102]","Chicago, IL",0,1464,1348,1
5235,2021-09-01T15:02:00+00:00,@NO_HOMOsapiens I did not enjoy any of my hospital rotations lol I found my joy in community health,1433082720440229896,Bald,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,599,548,1
5459,2021-09-01T14:42:23+00:00,"@ThatMGBookChick happy birthday, friend 💜
and I think it’s okay to feel both joy and sadness. sending you hugs.",1433077783920627717,Ronni Davis (semi-hiatus) ✨,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3071,1131,1
5700,2021-09-01T14:17:50+00:00,"Creator of them all that sits to the right of the Sun. That opens the veil to let you grow through your karmic lessons. I don’t be giving my sign enough props. So here to you babes. IN(joy) it all before transforming into the Oracle 🔮♍️😈 I see all. I feel all. Still, I move 🤫 https://t.co/y2HPCQVvYO",1433071605333299201,VirGOAT,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,502,318,1
10949,2021-09-02T22:54:50+00:00,"May your week ahead of you be filled with bright beginnings, may you be recognized for your gifts! Heading to the beach ⛱ soon! #chicagotantra #yogini https://t.co/X883egwrXu would love to celebrate 🍾 life with anyone seeking help finding their joy and purpose.  I came 2 play! https://t.co/eMwwU3Xtan",1433564099313504257,Tantra Butterfly 🦋 Goddess Diana Chicago,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['chicagotantra', 'yogini']",1304,1064,1
11794,2021-09-02T21:21:56+00:00,"Dude, you have NO idea how much joy that moment brought me at a much needed time amidst the chaos.  For real, I just couldn't stop hugging you.  💜💜💜 Love ya right back💜💜💜 https://t.co/zwaUzieV2v",1433540721320120321,val capone: she/her,0,1,25,1,"[-87.940033, 41.644102]","Chicago, IL",0,2748,2795,1
13658,2021-09-02T18:09:42+00:00,happy birthday @khloecoulee ilysm you bring so much joy to my life 🤍 https://t.co/OiUBoAgn7x,1433492345836785668,Wendell,1,1,42,0,"[-87.940033, 41.644102]","Chicago, IL",0,1608,596,1
14257,2021-09-02T17:13:06+00:00,@ClaireMWebeee We get to have a little joy after this shit!!,1433478099065352197,✨mable✨,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,840,841,1
14438,2021-09-02T16:54:46+00:00,"How do I know I’m a Virgo?

Because I get joy out of watching the logistics of the tennis balls around the court at the @usopen and the great work their ball persons do.",1433473486039699456,Jake Lenz,0,0,1,1,"[-87.940033, 41.644102]","Chicago, IL",0,169,275,1
15459,2021-09-02T15:11:50+00:00,Thrilled by a visit from @ChicagoDOT to install a speed bump! There’s no joy like a seeing a “special truck” in front of your house! @40thforward 🤗 https://t.co/UtI5sNm2RL,1433447580948652033,Tiffany Sostrin,0,0,8,0,"[-87.707052, 41.9610773]","Lincoln Square, Chicago",0,301,961,1
20987,2021-09-03T23:23:26+00:00,I'm legit so happy I can stream You Give Me Joy and everything else again omg https://t.co/EQ2KZ9A84d,1433933687536619520,🎄Dungaresse Weatherspoons🎄,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,379,1980,1
21323,2021-09-03T22:45:06+00:00,@ThorniestBerry @MackWubz this brings me so much joy,1433924037961465860,Nicky 🌈💕 🔜 ZEDD,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,808,1476,1
24868,2021-09-03T17:07:38+00:00,Comparison is the thief of joy. Pour up a drink. Turn the album on and just enjoy it in the moment.,1433839111849271297,drunk bartender,0,8,23,1,"[-87.940033, 41.644102]","Chicago, IL",0,873,537,1
24922,2021-09-03T17:02:02+00:00,The fact that my cousins and I have been hanging out literally every weekend for the past 2 months fills my heart with joy 🥰 biggest support system I have is my family anyone comes for them just know I’m there swinging 🤟🏻🤞🏻,1433837701715927040,Kat,0,1,2,0,"[-87.8321527, 41.816203]","Riverside, IL",0,281,289,1
25412,2021-09-03T16:20:55+00:00,"Appreciating a moment of socially distanced, maskless joy with a nitro cold brew ahead of a business lunch. @ Beatrix https://t.co/yJMD16TKFg",1433827353717784577,Charles Herring,0,0,1,0,"[-87.62253764, 41.89442502]","Chicago, IL",0,8727,524,1
25686,2021-09-03T15:55:40+00:00,This is some walk-off home run kinda joy running ❤️ https://t.co/W5EYGyg0pV,1433821000773292033,katie,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,321,1857,1
26497,2021-09-03T14:48:33+00:00,"@ForNft gm dinfo! one thing i’ve learned is to no fomo into putting a collection out. i want my first collection to stand the test of time, and continue to grow on the secondary market. this thought process has motivated me to continue to do what i love with a renewed sense of joy❤️",1433804109661020163,Wooglets,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1161,614,1
27933,2021-09-03T11:50:30+00:00,Today no give me joy at all. Lagosians seriously need to reconsider  their waste disposal methods oo.... This is not it. https://t.co/XR2QEhMOAk,1433759303039602689,FWDR. Chidubem Ferdinand Atuokoye.,2,1,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,4056,4986,1
29399,2021-09-03T04:09:42+00:00,@RealSimpleAriel Yeah! Joy District,1433643340805849088,Mitch Picks,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,96011,278,1
30330,2021-09-03T02:44:38+00:00,told my mom matching socks is for nerds and virgins and now she’s pacing around going “you’re such a joy” sarcastically,1433621929928413186,liv⚡️,0,0,5,0,"[-87.870332, 41.984433]","Park Ridge, IL",0,100,160,1
31984,2021-09-03T00:20:26+00:00,@stevebuscemily I think it will bring a lot of people joy,1433585641191841795,eclair,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,176,200,1
34194,2021-09-04T20:19:21+00:00,"@GOP Is this @GOPChairwoman ? Because I want to run as a Republican but this is really turning me off. I’ve had enough insurrection like statements encouraging people that others are unfit to lead. I would like to teach future voters about peace, love, and Joy, and I’m not feeling it.",1434249748408569856,Jesse,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,4,143,1
37060,2021-09-04T15:20:54+00:00,The gray skies at all of the games in the Midwest today bring me an inordinate amount of joy,1434174639966756866,Ashton Pollard,0,1,11,0,"[-87.940033, 41.644102]","Chicago, IL",0,658,906,1
38564,2021-09-04T09:14:24+00:00,Great stream tonight! 9 hours of pure joy! Back at it again tomorrow at 3pm central @ https://t.co/UrYTZ4rmc5,1434082409167921156,Lord EG3🐝🐨🤡👑,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,92,481,1
38900,2021-09-04T06:09:43+00:00,"4) we named it “Queerdovia”…a Queerdo Utopia where everyone who came was seen and heard and celebrated…full of the same awe-inspiring, and hope filled JOY my husband brings to my life every single day. I am obviously sleep deprived, but all of this to say…We CAN build…",1434035931644837890,2Gays1Twitch,1,0,17,0,"[-87.940033, 41.644102]","Chicago, IL",0,701,994,1
39562,2021-09-04T04:07:15+00:00,@cee_pain Sew 😂😂😂 thank you so much. It brings me joy sounding out the words,1434005110812729344,Legends Never Die,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,370,288,1
39623,2021-09-04T03:59:41+00:00,#ShangChi is an absolute joy to watch. One of Marvel’s best to date.,1434003206812704770,Steven Schultz,1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",['ShangChi'],140,103,1
40181,2021-09-04T02:53:23+00:00,"The horrible things I’ve seen done to women, the self-hate and misogyny, the lack of agency or self-esteem, the despair, the joy, the triumph. I’ve delivered about 1000 babies; I’ve cared for at least that many miscarriages.

-continued
#AbortionIsHealthcare",1433986520294248449,"𝙴𝚟𝚎𝚕𝚢𝚗 𝙵𝚒𝚐𝚞𝚎𝚛𝚘𝚊, 𝙼𝙳",1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",['AbortionIsHealthcare'],1389,884,1
41580,2021-09-04T00:27:37+00:00,"@BOOSIEOFFICIAL WTF does @LilNasX need to stop doing? Being free? Being beautiful? Being super damn talented? Stop advocating for his own joy, happiness and peace? Maybe you should stop! Stop pretending amazing humans like him need to prescribe to your toxic variations of masculinity! Boy bye!",1433949838224367616,IAmBrentHamlet10,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1077,4902,1
43845,2021-09-05T19:52:53+00:00,@natekang Joy &gt;,1434605473655820295,Craig S Hensel,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1352,720,1
44094,2021-09-05T19:25:45+00:00,@esports_DiA @Roodood1 @RandomMCaster @Axeman87Casts 🥺🥺🥺it's been nothing short of a joy. Easily one of the best things about my 2021 was getting to cast my homeland's region every Saturday and it wouldn't have happened if not for you ❤️,1434598645681303561,Henrique DaMour (FourY4),0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,594,1827,1
47163,2021-09-05T13:31:50+00:00,"@ThisIsNotJay20 Mans just vibing, gotta love black joy",1434509581779079169,Spike,0,0,2,0,"[-87.721809, 41.706027]","Evergreen Park, IL",0,408,2331,1
48940,2021-09-05T03:30:02+00:00,Always a joy working with Dr Hull. A true patient advocate and an amazing person https://t.co/AsPi3L0EWq,1434358132352995328,Mohamed Eltemamy,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,302,378,1
49461,2021-09-05T02:23:15+00:00,"Nothing but pure joy on Shane Beamer’s face after his first career W. He may be the first head coach who actually wants to be at the University of South Carolina since Coach Morrison passed in ‘88. It’s a long road ahead, but this could the dawn of a bright new era in Columbia.",1434341324019453954,Dañiel Schwartz,0,0,12,0,"[-87.940033, 41.644102]","Chicago, IL",0,354,1035,1
49751,2021-09-05T01:45:50+00:00,"GOD, I love my son. It’s a like a legit joy and pure happiness that comes over me when he’s near me.",1434331908096339968,Legends Never Die,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,370,288,1
