,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
259186,2020-11-18T22:37:44+00:00,@MondaireJones @MaxineWaters @JamaalBowmanNY @NikemaWilliams This photo excites me and brings me joy🤗,1329192092166393856,Abraxas,2,0,9,0,"[-87.940033, 41.644102]","Chicago, IL",0,231,1008,1
262960,2020-11-18T18:13:23+00:00,"@ToniC8 Life is too short, and all we owe ourselves is joy.",1329125564687523840,Janie Garb,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,336,706,1
264499,2020-11-18T16:31:49+00:00,Pure joy. 💙 https://t.co/txZKs5JgZQ,1329100006469623817,𝐀𝐥𝐰𝐚𝐲𝐬 𝐓𝐡𝐢𝐧𝐤𝐢𝐧𝐠🤔,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,4212,4231,1
264591,2020-11-18T16:26:06+00:00,"Feedback from Kindergarten parent teacher conference:

My daughter is a “joy” and “independent” and “knows how to mute herself”

🤣🤣#pandemicschool",1329098567718416384,A Human Being,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",['pandemicschool'],1426,1329,1
264704,2020-11-18T16:19:43+00:00,@JRzthoughts I love Joy!!!!,1329096958615707648,Zealous Libra ♎🎮🌈,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,5966,4324,1
269153,2020-11-18T04:50:23+00:00,So #BigSky is just the horror movie Joy Ride only G rated and made into a mini series?? 🤔,1328923482760089601,Michael Salinas ♏,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['BigSky'],229,62,1
270661,2020-11-18T02:53:26+00:00,A little joy for our timelines ❤️ https://t.co/NNS1GeFIY1,1328894050968211462,Annie Costabile,0,1,13,0,"[-87.940033, 41.644102]","Chicago, IL",0,6304,993,1
272318,2020-11-18T01:14:02+00:00,Bring Joy to Your Neighborhood and Save on Holiday Essentials with For Sale &amp; Free https://t.co/M6fV1WQeHy,1328869038668214272,Northpoint Realty,0,1,0,0,"[-87.63342759, 41.81052931]","Chicago, IL",0,219,2045,1
272494,2020-11-18T01:01:33+00:00,Crying tears of joy. This is the best news!!! https://t.co/ez2crXsynY,1328865897289814020,agitator in chief,0,1,36,1,"[-87.940033, 41.644102]","Chicago, IL",0,13744,1817,1
275593,2020-11-19T21:16:55+00:00,"Anytime I hear wizkid sing !! The happiness, the joy, the excitement!!! I feel like I’m floating 🥺🥺I’m in love with his existence!!😭❤️❤️🥺#WizKidLiveYT",1329534142799863822,elenu_gbigbe🇺🇸🇳🇬💕,1,5,11,0,"[-87.940033, 41.644102]","Chicago, IL",['WizKidLiveYT'],2515,1987,1
