,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
209,2021-01-01T23:39:02+00:00,@j_martinez25 @ManUtd Thank you cuz! Happy New Year to you and the whole fam. Health and joy for 2021 Juan!,1345152585188171780,Sir Marcos,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,478,222,1
554,2021-01-01T22:58:48+00:00,"May 2021 bring you luck, joy and happiness. #NewYearsDay https://t.co/Q2QARoy3jb",1345142459391737857,Naomi Adams Bata,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",['NewYearsDay'],645,1800,1
1139,2021-01-01T21:51:12+00:00,My only consistent source of joy in college football this year: Thank you #B1GCats (I’m looking at you #USC!) https://t.co/mUS6YlDqWa,1345125445646372865,Bob Hasty,0,1,3,0,"[-87.733451, 42.0191507]","Evanston, IL","['B1GCats', 'USC']",297,294,1
2643,2021-01-01T19:29:25+00:00,What will you choose to create in 2021? Your focus will determine that! #2021year #focus #mindset #youcreateyourownreality #create #love #joy #lifestyleengineering #higherself  #higherconsciousness #NewYear2021 https://t.co/Giejxymenp,1345089767302688768,Melanin 👑 King,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL","['2021year', 'focus', 'mindset', 'youcreateyourownreality', 'create', 'love', 'joy', 'lifestyleengineering', 'higherself', 'higherconsciousness', 'NewYear2021']",1228,3483,1
2716,2021-01-01T19:21:47+00:00,"Happy New Year everyone 😀 May this year be filled with joy and new beginnings 🎉
.
.
.
.
#happy #newyear #all #smiles #newlook #bye #2020 #welcome #2021 #love #peace #happiness #new #beginnings #live #your #potential https://t.co/2GjOehWYj3",1345087846357598209,Social Surfer,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL","['happy', 'newyear', 'all', 'smiles', 'newlook', 'bye', 'welcome', 'love', 'peace', 'happiness', 'new', 'beginnings', 'live', 'your', 'potential']",458,471,1
3046,2021-01-01T18:52:31+00:00,"I don't ask a lot in life when it comes to my Birthday, but my gift came early this week. May 2021 be filled with joy and health. #NewYearsDay #HealthCareHeroes https://t.co/5tUONB9P2u",1345080481759559684,Sir Marcos,2,0,9,0,"[-87.940033, 41.644102]","Chicago, IL","['NewYearsDay', 'HealthCareHeroes']",478,222,1
3102,2021-01-01T18:47:29+00:00,"@JANinHtown @ChrisChaos_21 The chicken joy (any piece you want)
And please please PLEASSSSEEE GET THE PINEAPPLE JUICE 💛💛💛",1345079213993426945,🏳️‍🌈Flowerman🌸,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,1574,2867,1
3182,2021-01-01T18:40:13+00:00,I been crying tears of joy since I woke up!,1345077383620161537,Mthang,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,733,386,1
3389,2021-01-01T18:19:36+00:00,"God, on this #worldpeace day my we see #peace #joy #forgiveness and #love Father Fragmeni, 2021 will be the year #god answers your #prayers for the #church #amen🙏 https://t.co/5RLD4Zb3YO",1345072194490159107,"Patrick Dati, Author, Speaker & Advocate",0,0,3,0,"[-87.65819164953359, 41.87261664728941]",Shrine of Our Lady of Pompeii,"['worldpeace', 'peace', 'joy', 'forgiveness', 'love', 'god', 'prayers', 'church', 'amen']",3764,4838,1
3807,2021-01-01T17:39:40+00:00,"Happy New Year to everybody! May 2021 bring much welcome change, opportunities, optimism, and joy! 🎉🥂
.
.
.
.
#happynewyear #happynewyear2021 #joshuajernjazzorchestra @ Chicago, Illinois https://t.co/wVbJhpmIW7",1345062145663315968,Joshua Jern,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL","['happynewyear', 'happynewyear2021', 'joshuajernjazzorchestra']",47,54,1
4048,2021-01-01T17:11:49+00:00,"Even though 2020 was hell, here’s a few things that brought me joy: 
* building my workstation
* receiving grants in recognition of my work
* much healthier and better relationship with my family
* being surrounded by love from my friends 
* traveling to new places in the U.S.",1345055138118066176,jen,1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,474,220,1
4988,2021-01-01T15:24:13+00:00,@dareyofficial_ Thanks my man from day one... we shall grow in peace and joy... Happy New Year,1345028061499154434,Denko,0,0,0,1,"[-87.940033, 41.644102]","Chicago, IL",0,93,82,1
5520,2021-01-01T13:45:14+00:00,Good morning happy new year to all my friends and followers May this new year bring you all the joy you deserve.,1345003147836739584,Mario Arencibia,3,1,16,1,"[-87.9691933, 41.8477693]","Elmhurst, IL",0,468,691,1
5569,2021-01-01T13:34:47+00:00,"Grateful to enter this new year with the greatest of gifts: my babies and partner for life. Committed to advocating, informing and spreading joy and compassion in 2021. 🧡 https://t.co/uJX3aBuZmc",1345000519866195969,Tanja Babich,19,4,280,0,"[-87.940033, 41.644102]","Chicago, IL",0,7520,829,1
5705,2021-01-01T12:37:52+00:00,Popped out w my pride and joy 😂 that’s my lil brother if you ain’t know 😅,1344986195768582144,BabyHndrxx🦋💕++*,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,618,293,1
6157,2021-01-01T08:37:54+00:00,"Hi! It’s 2021 — Have a WONDERFUL year! Filled with love, happiness, joy, health, and whatever tf else will light your heart on fire! You are awesome, and loved. #NYE2020 #Hello2021 #2021makeawish #NewYear",1344925808423530501,χριστίνα 🌻,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL","['NYE2020', 'Hello2021', '2021makeawish', 'NewYear']",1224,531,1
7040,2021-01-01T06:31:42+00:00,Happy New Year to everyone on my timeline ❤️❤️ praying this year brings you nothing but joy and prosperity,1344894048465776641,KP,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,336,1469,1
7704,2021-01-01T06:00:21+00:00,"Never could’ve imagined what kinda of year 2020 was going to become. Very blessed to have made it thus far. Though my wife &amp; I have experienced loss along w/ so many others, we have joy. We look fwd w/ hope that 2021 will be different in the best way. #HappyNewYear #2021NewYear https://t.co/lKPXiY3NHj https://t.co/l74qqr2DRZ",1344886158820564992,Wednesday Comix,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['HappyNewYear', '2021NewYear']",1864,3301,1
7821,2021-01-01T05:51:00+00:00,"Happy and Blessed New Year to the greatest spiritual parents on earth @BishopPMorton @PastorDMorton May this year be your best ever, filled with good health, joy, and prosperity in every area of your existence! Helen and I thank God for you both and love y’all to life♥️ https://t.co/fUmRdpmWqk",1344883804025069569,Bishop T. Triplett,0,0,2,1,"[-87.940033, 41.644102]","Chicago, IL",0,1731,624,1
10426,2021-01-01T01:53:43+00:00,"Letting go of drama, giving myself to joy and peace. https://t.co/v3CGDklndi",1344824088804675584,Elizabeth McBride,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,148,340,1
10693,2021-01-01T01:29:30+00:00,"I’ll start: 2020 taught me there’s joy in simplicity. 

... like watching fireworks from the car at a drive-in during a pandemic. 

Today my cup is full looking back at the simple “boring” moments I won’t be taking for granted in 2021 https://t.co/Oq5NJQrVPu",1344817994338365441,Marissa Parra,1,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,5285,1233,1
11553,2021-01-01T00:20:11+00:00,"#HappyNewYear2021 #sharethejoy
#Hello2021 #BlackTwitter #shareblackstories #GoodBye2020 #dlammiehanson #JOY #blackjoy https://t.co/MFNC4iG6oO",1344800550391578624,D. Lammie-Hanson,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['HappyNewYear2021', 'sharethejoy', 'Hello2021', 'BlackTwitter', 'shareblackstories', 'GoodBye2020', 'dlammiehanson', 'JOY', 'blackjoy']",146,110,1
12984,2021-01-02T22:04:07+00:00,@flacosolus He’s a joy to watch. I really hope he doesn’t stay in England. I’m sure NAK can give Villa an offer for him they can’t turn down. 😂,1345491087197167618,Malik Grandberry,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,469,663,1
15114,2021-01-02T18:10:18+00:00,What 2020 felt like #2020 joy and dread. @ Belmont Harbor https://t.co/ykwvM4XNiC,1345432242525503489,Son of #Themyscira,0,0,0,0,"[-87.6426897, 41.9401987]","Chicago, IL",0,156,79,1
16013,2021-01-02T16:36:26+00:00,Not everything in life requires tactics or a process. Doing something which brings you joy...what a feeling ✨,1345408620020830209,Aida,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,372,691,1
16682,2021-01-02T14:51:51+00:00,Weeping may endure for a night but joy comes in the morning light,1345382302537420801,Alex,0,0,0,0,"[-87.833698, 41.850023]","Forest Park, IL",0,1131,1005,1
16758,2021-01-02T14:37:53+00:00,@HollywoodDGirl What a joy it was to watch Flo Jo run fastest woman I’ve ever seen didn’t hurt that she was beautiful either.,1345378787970703361,Mario Arencibia,0,0,0,0,"[-87.9691933, 41.8477693]","Elmhurst, IL",0,468,691,1
17346,2021-01-02T09:22:33+00:00,The peace + joy that appears when im creating. I feel so privileged. Grateful 😿,1345299432464646144,ᒪ ᗩ S S ᗩ ᓰ,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,592,194,1
18017,2021-01-02T06:00:19+00:00,"Happy New Year everyone!! Wishing everyone blessings, joy, &amp; health for this coming year!! #HappyNewYear #BeNoble https://t.co/q1xwwmPgHL",1345248537102209026,"Noble Street College Prep, a Noble School",0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL","['HappyNewYear', 'BeNoble']",219,179,1
19717,2021-01-02T02:54:25+00:00,Man joy district seems so corny to me... everytime I'm out here i always see some funky weirdos going in there...,1345201756066689024,reymello,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,257,737,1
20031,2021-01-02T02:25:09+00:00,this is such a waste of the denali/kahmora seeing each other in the work room for the first time. robbed of chicago joy!,1345194388624912384,character actress georgie rae,0,2,64,1,"[-87.940033, 41.644102]","Chicago, IL",0,1759,1212,1
20122,2021-01-02T02:18:31+00:00,oh the joy of coming back to Chicago https://t.co/VEe2fvCGjT,1345192718679609347,Charlie Gers,1,0,18,0,"[-87.940033, 41.644102]","Chicago, IL",0,1170,345,1
24803,2021-01-03T20:48:37+00:00,"What a joy to mentor, coach &amp; empower one of our elders to now serve as ""lead-pastor"" of Imago Dei! Today we commissioned Pastor Cleveland (center), as Pastor Craig (left) &amp; Founding Pastor Tom (right) continue working with Cleveland on the Council of Elders! Glory to GOD alone! https://t.co/tnqV02RTEN",1345834474366500864,ID Beverly/MorganPk,0,0,0,0,"[-87.6964762, 41.698968]","Beverly, Chicago",0,103,120,1
27886,2021-01-03T16:14:24+00:00,It’s the “I ain’t giving up my joy for nobody!” for me. 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,1345765466007089161,browngirldreaming,0,1,7,0,"[-87.940033, 41.644102]","Chicago, IL",0,434,497,1
28232,2021-01-03T15:40:27+00:00,The joy that just came over me as I realized it is Sunday (not Saturday) and I’m off from both jobs for the next two days. Glory be his name.,1345756921987477505,WHERE MY MF BARBZ AT,0,0,2,0,"[-87.66956, 41.629776]","Riverdale, IL",0,648,636,1
28713,2021-01-03T14:37:57+00:00,Out here destroying philanthropy with joy. https://t.co/NzWoSLeMOq,1345741190629642249,Daniel X. O'Neil,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,6713,7196,1
29210,2021-01-03T12:37:21+00:00,"Few things give more joy than a tray of freshly baked biscuits. Chai rice, egg, and cheese sandwich, anyone? 😛 #biscuit #sandwich #breakfast #brunch #andersonville #chicago #cheflife @ Big Jones https://t.co/2OhvXBj0RB",1345710840142462976,Big Jones,0,0,7,0,"[-87.66793, 41.9794399]","Chicago, IL","['biscuit', 'sandwich', 'breakfast', 'brunch', 'andersonville', 'chicago', 'cheflife']",3117,355,1
30337,2021-01-03T06:06:32+00:00,A few days late. Thanks to Twitter for and all its participants for getting me through 2020. You were a joy to read and a joy to engage with.,1345612489946443776,Mikky J W,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,2117,1642,1
32622,2021-01-03T01:41:43+00:00,It will be a joy watching you be primaried into non existance! https://t.co/PbJoI5GdUV,1345545846356647936,Scott Stauffer 🇺🇸,0,0,0,0,"[-88.003635, 41.812505]","Oak Brook, IL",0,292,439,1
32738,2021-01-03T01:29:16+00:00,"@sleepxpert Many prayers for you Karen, i’m sure it has to be a terrible and tough time for you at least the Bears could win and bring you some joy tomorrow. Know I’ll be praying for you God bless and once again condolences on your loss.",1345542713945559040,Mario Arencibia,0,0,5,0,"[-87.9691933, 41.8477693]","Elmhurst, IL",0,468,691,1
36131,2021-01-04T19:30:58+00:00,"I can’t stop obsessing over @ratatousical!! I’ve cried so much, It makes me so happy and gives me so much hope. It’s such an amazing collaboration to see people rally around. I haven’t had this kind of joy in a long time. Can’t get the songs out of my head. Chills for days.",1346177319568887812,Big fat Ruthy girl,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,114,232,1
37772,2021-01-04T16:37:43+00:00,Watching Joy &amp; Meghan like.......  #TheView https://t.co/KIxJgrLETH,1346133718415659009,🏳️‍🌈The Obamacrat™️,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",['TheView'],5395,5936,1
39512,2021-01-04T12:44:03+00:00,"Almighty God, please help me live to worship You with contagious joy and gratitude.",1346074916848885761,Charles Watkins,0,3,46,0,"[-87.940033, 41.644102]","Chicago, IL",0,22599,4864,1
41074,2021-01-04T04:43:22+00:00,"To find joy in art is easy. But to suffer for art as an artist may be the most underappreciated act any artist, writer or creative person ever has to endure. No one knows what it's like to live for art, call it painting or poetry, or even running. None are easy. All require work. https://t.co/i46RMForFJ",1345953949250150402,Rui Carlos da Cunha,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,749,752,1
41448,2021-01-04T04:08:14+00:00,"Idk but when my kid asks me to lay down next to her and watch YouTube videos &amp; she just leans on me, those moments fill my heart &amp; soul with joy fr.",1345945107938353154,threat 🇭🇳🇯🇵,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,833,749,1
42354,2021-01-04T02:45:06+00:00,@JPFinlayNBCS It’s been a joy to watch Logan develop over this season. Tight end is no longer a ?.,1345924185651032066,Mike Loveday,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,2854,872,1
43584,2021-01-04T00:55:43+00:00,"@seunhere 1. [see attached pic]

2. This video is so full of beauty and joy 😭🙌🏽 https://t.co/qP0YihJ091",1345896656995278850,ChiTown Round Bih💉💉💪🏼🏳️‍🌈#BLM #ABLM🏳️‍🌈,0,0,29,0,"[-87.940033, 41.644102]","Chicago, IL",0,928,3052,1
45651,2021-01-05T22:21:33+00:00,Omg I am soooooo here for this Joy. https://t.co/63qFZxkF02,1346582637113171976,R. Lucretia,1,0,0,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,376,350,1
47839,2021-01-05T18:56:16+00:00,A true joy to work in partnership with @tova_linn and these amazing cancer trainees @UICancerCenter! @BlackinCancer @OncoAlert can we find more meaningful ways for cancer patient advocates to interact with oncologists and researchers? Thanks @bjork5 for this wonderful opportunity https://t.co/Xa9DLw0Iu2,1346530976898441219,KD Richardson,0,3,10,0,"[-87.940033, 41.644102]","Chicago, IL",0,1293,1976,1
48464,2021-01-05T17:57:56+00:00,Just posted a photo @ Joy District https://t.co/YIkazyz71U,1346516293231534080,Protégé,0,0,0,0,"[-87.6318, 41.89026]","Chicago, IL",0,7184,814,1
49190,2021-01-05T16:38:39+00:00,@Vince_Aries Joy needs to sit in timeout!!!!,1346496344094072833,Zealous Libra ♎🎮🌈,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,5738,4309,1
50036,2021-01-05T15:05:48+00:00,"A smile that emits pure joy ✨ 
Photographed by me 
#byChristopherMarrs https://t.co/Jmr6nYRRLq",1346472978179977223,THE MARTIAN (they/them),1,0,35,0,"[-87.940033, 41.644102]","Chicago, IL",['byChristopherMarrs'],3090,817,1
54224,2021-01-05T02:06:45+00:00,Kit from #TheBachelor  is the villain version of Anya Taylor Joy,1346276922918137857,erin,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",['TheBachelor'],197,287,1
56002,2021-01-06T23:40:46+00:00,@CapehartJ @JoyAnnReid @MSNBC Joy had me like......... https://t.co/t4MfZSVuaz,1346964961336070144,🏳️‍🌈The Obamacrat™️,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",0,5395,5936,1
56055,2021-01-06T23:39:10+00:00,@DRE3K @Roberts_Rules This thread 🪡 made me scream in pure joy!!!! I freakin love it!!!! Y’all did that!! 🔥🔥💯💯👏🏽👏🏽 👠 👠,1346964557684621313,Trevoy Johnson,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,1586,1927,1
56323,2021-01-06T23:26:16+00:00,Joy said everything that needed to be said. From the racism causing this shit to capital police to Hawley/Cruz to how to proceed.,1346961312849518602,Andre,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,540,445,1
56447,2021-01-06T23:20:22+00:00,Joy Reid 👏,1346959826291716098,✶✶✶✶,1,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,390,3234,1
56452,2021-01-06T23:20:04+00:00,Shackled arrested or dead. Joy Reid speaking the truth,1346959749711941636,A - U - T - O MATIC,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,417,873,1
58973,2021-01-06T21:29:20+00:00,"@emilylhauser Unfortunately, that joy lasted only until I learned this morning of a hate crime occurring here in Oak Park, IL: https://t.co/L58atK00bt",1346931882127069186,Brian D. Straw,1,0,0,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,264,716,1
64108,2021-01-06T18:02:58+00:00,@ChuziSarah 😂 thanks Sarah! You are such a gem and it’s been a joy to watch your professional growth over the years! 🙌,1346879950318661634,"Jane Wilcox, MD, MSc",0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,2220,980,1
64665,2021-01-06T17:14:29+00:00,"Sort of spoiler alert?: I watched Soul last night, and at its core, I’d say the movie is about your life not having one singular spark but many little ones that give you joy and make life worth living- and someone told me something about myself recently that made me feel good:",1346867747096035328,Ugo Okere 🌹,1,1,49,0,"[-87.940033, 41.644102]","Chicago, IL",0,4791,946,1
65643,2021-01-06T15:44:47+00:00,@NDIRISH771 Fantastic. Hopefully Joy threw in some of her patented homophobic &amp; anti-Muslim nuggets of wisdom.,1346845176606699522,Elias Cepeda,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,6143,1914,1
66180,2021-01-06T14:50:42+00:00,"Joy, I couldn't said it any better. Right on point.#Mitchmcconell https://t.co/xgTCKTroQi",1346831562864787458,Exodus Pettus,0,0,3,0,"[-87.8041444, 41.821108]","Berwyn, IL",['Mitchmcconell'],204,907,1
66308,2021-01-06T14:34:21+00:00,Real talk.I've been a better friend / supporter to most people than some have been to me.Even to the jealous &amp; lying ass ones.They have no power over my joy.I hope they change &amp; realize life is better when u focus on doing u instead of wanting what others have.,1346827450249060353,Anya Justanya 📸🎥❤AJA @dragchicago @thescenechi,3,1,26,0,"[-87.940033, 41.644102]","Chicago, IL",0,784,1068,1
66811,2021-01-06T13:29:15+00:00,"Sipping my coffee, letting the joy that comes from knowing Kelly and Tomi are loosing their minds wash over me",1346811067377311744,Emily,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,119,408,1
68024,2021-01-06T07:15:18+00:00,Is this joy I am feeling? https://t.co/6MPD7E5Ml5,1346716961196167170,Karen Villanueva,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,10,571,1
68515,2021-01-06T06:07:36+00:00,I get way too much joy out of seeing white women getting punched for being racist,1346699922977009665,I  C O N,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,3083,2811,1
68535,2021-01-06T06:06:08+00:00,Ducking hell. I love this. It fills me with joy https://t.co/Ad7bNZ6Nmo,1346699551948857344,LL Cool Whip,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,404,1460,1
69347,2021-01-06T05:02:13+00:00,"The looks on their faces. The smiles. The joy. This is what it’s all about! 💙

@usahockey | #WorldJuniors 

 https://t.co/VG22f4XvdR",1346683469498298374,Michael Bolling,0,3,25,1,"[-87.940033, 41.644102]","Chicago, IL",['WorldJuniors'],3114,973,1
69410,2021-01-06T04:57:49+00:00,I'm genuinely trying not to cry tears of joy so I'm dancing and drinking rum and diet coke's instead.,1346682359396102145,It's better when the Mets win,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,288,843,1
70538,2021-01-06T03:36:39+00:00,There are people that are breathing air with you and hate seeing you happy. They stomp all over your joy but you must take charge and excise them soon as they show their asses. Just cut. Life's too short for that shit.,1346661935429906432,Blue Blooded Dem-House of Pfizer X 2- 04/27/21,0,0,13,0,"[-87.940033, 41.644102]","Chicago, IL",0,6174,3440,1
70678,2021-01-06T03:26:08+00:00,Riptide by Vance Joy will always be a mf bop,1346659287947489280,Kassandra 🎃,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1555,1968,1
71289,2021-01-06T02:45:43+00:00,@KildayMorgan And even bother having Nicolle and Joy on if they’re relegated to B-Team status?? Don’t appreciate that last segment w/Rachel’s condescending throw to Nicolle. Grrrrrrrr....,1346649116022079489,PegH in The Sloop💛🐝,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,4335,4923,1
73912,2021-01-07T23:12:54+00:00,@newsbreakApp Joy Reid is so right on this.,1347320335268540422,Tarzan,0,0,0,0,"[-87.9691933, 41.8477693]","Elmhurst, IL",0,8,66,1
74017,2021-01-07T23:02:35+00:00,"Tears of joy. #hamlinessisnexttogodliness  @fortunefishgourmet @ Chicago, Illinois https://t.co/IIlJYFjucl",1347317738469994504,Ryan Brosseau,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",['hamlinessisnexttogodliness'],19,40,1
74573,2021-01-07T22:11:19+00:00,This brought so much joy because I know Corey would have loved this. 💙 Definitely needed this! 🕊🤍 https://t.co/omR8vBOsS2,1347304837067796482,Marisol 😈,0,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,836,614,1
76014,2021-01-07T19:59:03+00:00,@BigHomieKeef216 😅😅 I love Joy Taylor now bro. She cold.,1347271550563741699,Raja,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,396,403,1
76907,2021-01-07T18:47:29+00:00,"@goldietaylor Exactly!  Like Joy Reid said yesterday, they would’ve been shackled, arrested and even dead.  Klein is asserting his White privilege to paint these ppl as innocent dupes and it’s sickening.",1347253542617288711,David Basora 🇵🇷🏳️‍🌈🇵🇷🏳️‍🌈,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1439,941,1
77881,2021-01-07T17:25:35+00:00,@hello_itsbi Joy’s and Yellowtail slapppp 🍣,1347232930750410755,gaysmr,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,41,301,1
78137,2021-01-07T17:06:41+00:00,Yeah state violence and cops killing people still bad but come on lmao she retweeted something about the punishment for treason being death by firing squad within the past week 😐like... When joy is no longer an option I'm gonna laugh at irony I'm sorry😩 https://t.co/djStUEjm3H,1347228172237107205,Haley B. Ragsdale,0,0,3,0,"[-87.940033, 41.644102]","Chicago, IL",0,512,559,1
79665,2021-01-07T15:01:22+00:00,"For anyone that hasn’t had the joy of going to Brothers (all y’all non-Midwestern folks), anyone and their cat can get in there",1347196635470819330,Charlie Gers,1,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,1170,345,1
81642,2021-01-07T07:27:06+00:00,Y’all babies be looking so beautiful. Like a little bundle of joy. I can’t wait until it’s my time. I can wait... but yeah. Them little faces &amp; feet 🥺💜,1347082318108913664,Skin Is In Beauty & Esthetics🌸,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1254,307,1
82985,2021-01-07T05:04:10+00:00,"this song makes me wanna wail in complete sadness, laugh in uninhibited joy, and scream in total dissatisfaction. such a versatile and downright AMAZING song https://t.co/zAaJhht0yF",1347046346797281283,depressed girl diaries,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,912,479,1
83509,2021-01-07T04:25:45+00:00,"what a joy to live in “the most powerful country in the world,” watching our elderly ruling class pull an all-nighter to accomplish a routine task",1347036679643799555,Kelsey M,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,327,650,1
