,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
225,2021-12-01T23:41:01+00:00,"So that’s why lawmakers really really really want yt women to keep their children. Not for blessings, joy, health and family…for fucking yt supremacy to stay intact 🙃",1466190631043223555,Self Care Whore 🤎,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1127,938,1
4594,2021-12-01T16:53:33+00:00,@rockytopinsider This story gives me joy,1466088088665567232,Lewis Chilton,0,0,6,0,"[-87.733451, 42.0191507]","Evanston, IL",0,171,119,1
4848,2021-12-01T16:32:35+00:00,"It’s December, &amp; I hope to finish the year with intention &amp; joy. ✨",1466082813216710675,The Joyful Reader,0,0,5,0,"[-87.826203, 41.908494]","Elmwood Park, IL",0,446,1273,1
6750,2021-12-01T12:37:47+00:00,"Lord Jesus, You have called us to follow You. May we have a purity of faith as we respond in joy and confidence to Your all merciful love.",1466023721819324423,brcampmin,0,0,0,0,"[-87.798798, 41.68331]","Oak Lawn, IL",0,157,190,1
8548,2021-12-01T03:37:19+00:00,"@KPmusik @joyoladokun okay this interaction here has me SHAKING!!! Seeing Katie in chicago this month🤩 can’t wait to see my fave gal to STAN, Joy in chicago in April 🤩 FINALLY",1465887710862786560,top .04 % of culottes,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,748,809,1
12836,2021-12-02T19:33:36+00:00,🌤 @ Joy District https://t.co/8xligAf82E,1466490755547947008,rere la flare ❄️❤️‍🔥🖤🤍,0,0,0,0,"[-87.6318, 41.89026]","Chicago, IL",0,2552,1566,1
13852,2021-12-02T17:40:51+00:00,"Grown ass adults are heavy into video games and trading cards.

If it's not for some of you, move along and let those it's meant for, enjoy it. It's really that simple. Something you find stupid,  others find great joy in. https://t.co/m0wMmvtVyi",1466462378963390465,R. Lucretia,0,0,1,1,"[-87.805698, 41.8650062]","Oak Park, IL",0,409,367,1
14393,2021-12-02T16:43:51+00:00,The joy of having your Chief Legal Officer being a #Duke grad. Well done @OhioStateHoops &amp; @Brutus_Buckeye! #GoBucks #B1GPride https://t.co/EsIi4nq0k4,1466448034003361797,Jason Bannack MS ATC,1,0,7,0,"[-88.003635, 41.812505]","Oak Brook, IL","['Duke', 'GoBucks', 'B1GPride']",1178,2004,1
15139,2021-12-02T15:26:51+00:00,"@kinzer_sarah Ok, well… you! &amp;:
@JesterWootton - real and true
@dennaepierre - a sage of shalom
@TrueConsolation - sharp as tack
@FeetCryMercy - life giver
@CityApologetics - joy and strength
@INESmcbryde - holy fire
@M_Jensen23 - crystal clear
@drmichellereyes - eye-opener

Missing so many!",1466428658055270410,Matthew Podszus,8,0,29,1,"[-87.940033, 41.644102]","Chicago, IL",0,1523,858,1
16150,2021-12-02T12:23:07+00:00,"Lord Jesus, we know You are the only one who can fulfill the longing of our souls. May we thirst for Your kingdom and find joy in Your presence. Nourish us with Your life-giving word.",1466382420643561476,brcampmin,0,0,0,0,"[-87.798798, 41.68331]","Oak Lawn, IL",0,157,190,1
16188,2021-12-02T12:08:58+00:00,I love doing nice things for others- it brings me Joy and Optimism. I remember when students/parents would bring me a gift of thanks for being their teacher.  Today I am giving a little thanks to the @united flight crew. https://t.co/wXbavHO3Af,1466378857146167297,Jack Berckemeyer,0,0,8,0,"[-87.940033, 41.644102]","Chicago, IL",0,8702,214,1
18204,2021-12-02T03:19:10+00:00,I saw Selena Gomez’s TikTok and felt such great joy. I love this show a lot. https://t.co/fVGtf4J8AB,1466245528430288908,Patty Cake,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,78,678,1
20422,2021-12-03T23:54:24+00:00,We had a wonderful season finale at @chipublib last night w/ @1book1chicago Bedrock Faith author @EricCharlesMay &amp; @Booklist_Donna. What a joy to hear them talk about writing and celebrate! It was a challenging season to do in a pandemic (again) but we pulled it off! https://t.co/QlfPvwSD03,1466918774821507076,Jennifer Lizak,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1456,1760,1
20760,2021-12-03T23:14:12+00:00,"At some point he gotta let that bitterness go. Now it isn't even just Mariah, he seems bitter at any woman not willing to work with him again. And he always says this stuff around this time a year.  Well, he ain't gonna damper M joy with his bitterness.  He needs to seek therapy. https://t.co/mVathecsjJ",1466908657883439105,R. Lucretia,0,0,0,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,409,367,1
23699,2021-12-03T17:33:01+00:00,"My heart is full of joy over the 4-day video/photoshoot I had! I worked with great people while doing what I love. So blessed!
#actorslife #acting #commercial #blessed #dowhatyoulove #photography @ Brookfield, Illinois https://t.co/WmCgZvVBTB",1466822794029592578,Sedrick Halbert,0,0,2,1,"[-87.8475, 41.8227]","Brookfield, IL","['actorslife', 'acting', 'commercial', 'blessed', 'dowhatyoulove', 'photography']",186,344,1
24282,2021-12-03T16:36:41+00:00,"""A young man who wishes to remain a sound Atheist cannot be too careful of his reading.""
⏤ C.S. Lewis, Surprised by Joy #CSLI",1466808620910354432,C.S. Lewis Institute,0,2,4,1,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],5230,494,1
24467,2021-12-03T16:19:15+00:00,"@vicdougherty Maybe it's all the Children? Probably more books If not for the husbands😏 
Children keep us young and are a joy! Husbands not so much! It's ""You always have a headache"" 😉",1466804231860535297,Thomas Gregory Ray,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,2984,3234,1
30214,2021-12-03T00:53:54+00:00,"Spotted on @cta Route 80, a passenger with the most delicious Salerno cookies. I could not find any last year, oh joy of joys. #cookies @ https://t.co/pdhmeGHhgM",1466571360428167169,Beth Donahue,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",['cookies'],183,360,1
31422,2021-12-04T22:50:31+00:00,Boy I sure do hate testing out puppets for my nephew. Sure is a chore that brings me no joy. https://t.co/qxwYFnooCN,1467265085445971973,Leigh Giangreco,2,0,10,0,"[-87.687829, 41.968045]",Timeless Toys Ltd,0,7249,8088,1
32107,2021-12-04T21:41:12+00:00,This what I mean when I think about Black boy joy lmaooo not just flower crowns shit https://t.co/qRUxCew0jO,1467247641444638723,Fashion Queen Vee👑✨,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,3661,1165,1
32131,2021-12-04T21:39:23+00:00,@ThatPodGuyDuke Watching Rick Ankiel throw assholes out was a joy.,1467247182734635010,Justin 🌱.,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,990,996,1
33328,2021-12-04T19:39:20+00:00,"We should find equal joy in being proven wrong as being proven right, because we should delight in truth over falsehood.",1467216974442909699,Matthew Podszus,0,4,33,0,"[-87.710109, 41.676826]","Merrionette Park, IL",0,1523,858,1
33627,2021-12-04T19:09:16+00:00,@AnneLouiseAvery Pay no mind! Your tweets are little spots of joy in my doomscrolling.,1467209404147773451,selfish childless spinster,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,840,811,1
33787,2021-12-04T18:54:24+00:00,I’ll never forget walking into the theatre and seeing all the memorabilia on display. My jaw was on the floor. It was amazing  and the joy I felt at seeing it all in one place was just unreal. I’m a little too young to have really experienced the heyday of the label…,1467205665684873224,Adrian Halo,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,323,646,1
34474,2021-12-04T17:36:32+00:00,Joy to the world https://t.co/uBeeJl24Uj,1467186069091274755,Jeremy Ross,1,1,5,0,"[-87.940033, 41.644102]","Chicago, IL",0,5956,3429,1
35243,2021-12-04T16:16:56+00:00,"@KimeeBe Good morning Kim. I hope you have a wonderful weekend. Full of happiness and joy. Take care, stay safe, stay positive, stay blessed and stay amazing beautiful 🌹",1467166038563471370,BigRob1987,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,10138,9747,1
37089,2021-12-04T06:58:02+00:00,What a great time tonight with the Depaul Prep Rams family I love when the moms come back and visit and joy them self on the bleachers with me /and we get together at one of the moms house after the game even when your sons have graduated and gone on to higher heights https://t.co/BVDT5CLI21,1467025387150577670,Pamela Thomas,0,0,1,0,"[-87.805698, 41.8650062]","Oak Park, IL",0,249,2373,1
38270,2021-12-04T03:39:14+00:00,True Grit (2010). A joy.,1466975356603318272,Laura Demanski,1,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",0,812,1490,1
40016,2021-12-04T00:23:14+00:00,"I was so excited to move back to Chicago but god the transition has been rough. I miss my DC friends. I miss the familiarity of my job I was at for 3 years. Chicago is home, but I need some new joy in my life. 😞",1466926032548679680,District of Cain,0,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",0,461,1398,1
40136,2021-12-04T00:08:06+00:00,"@StobiesGalaxy -Joy to the Best of Both Worlds
-All I Want for Christmas Is Q
-It’s the Most Wonderful Amok Time of the Year
-There’s No Place Like The Voyage Home for the Holidays 🎶🎄🎅🏿🖖🏾 https://t.co/kDpM8OAt2W",1466922220681367560,Sonya Olds Som (she/her/hers),0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",0,15053,4072,1
41791,2021-12-05T21:16:09+00:00,Being a Minnesota Vikings fan is a path of pain and joy. 🥲SKOL,1467603723513962503,Edward Anthony,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,566,662,1
42199,2021-12-05T20:42:54+00:00,It’s almost time for the Joy of Christmas! 🎄❤️💚#behindthescenes #Christmasconcert #sheready #joyofChristmas @ Apostolic Church of God - Chicago https://t.co/OMztiPQpKm,1467595357446148098,Miss Stephens,0,0,0,0,"[-87.59223928, 41.77951268]","Chicago, IL","['behindthescenes', 'Christmasconcert', 'sheready', 'joyofChristmas']",1062,909,1
44887,2021-12-05T16:28:22+00:00,"“All days of glory, joy and happiness”
-King John, Act 3, Scene 4 
@StarTrek 
@StarTrekOnPPlus 
#StarTrek
#StarTrekDiscovery 
#ShakespeareSunday https://t.co/x2DvZI3RQz",1467531300290633730,Sonya Olds Som (she/her/hers),1,2,3,0,"[-87.940033, 41.644102]","Chicago, IL","['StarTrek', 'StarTrekDiscovery', 'ShakespeareSunday']",15053,4072,1
45360,2021-12-05T15:35:36+00:00,"“Command the citizens make bonfires
And feast and banquet in the open streets,
To celebrate the joy that God hath given us”
-Henry VI Part 1, Act 1, Scene 6 
@bardwars 
#ShakespeareSunday https://t.co/U1cm0igb0l",1467518022982287365,Sonya Olds Som (she/her/hers),2,1,5,0,"[-87.940033, 41.644102]","Chicago, IL",['ShakespeareSunday'],15053,4072,1
45935,2021-12-05T13:43:43+00:00,"“Silence is the perfectest herald of joy: I were but little happy, if I could say how much.”
-Much Ado About Nothing, Act 2, Scene 1 
@ThatKevinSmith 
#SilentBob
#ShakespeareSunday https://t.co/ve9Y7hRGll",1467489867399675909,Sonya Olds Som (she/her/hers),1,0,5,0,"[-87.940033, 41.644102]","Chicago, IL","['SilentBob', 'ShakespeareSunday']",15053,4072,1
46005,2021-12-05T13:23:06+00:00,"“My grief lies onward and my joy behind.”
-Sonnet 50 

@Snoopy 
#ShakespeareSunday https://t.co/jgqidCPHM2",1467484678521294850,Sonya Olds Som (she/her/hers),1,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",['ShakespeareSunday'],15053,4072,1
46249,2021-12-05T11:22:54+00:00,"“How much better is it to weep at joy than to joy at weeping?”
-Much Ado About Nothing, Act 1, Scene 1 
@DisneyBard 
@BardOfHeroes 
@wandavision 
#ShakespeareSunday https://t.co/CQXGfI4WFK",1467454429758693376,Sonya Olds Som (she/her/hers),1,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",['ShakespeareSunday'],15053,4072,1
46251,2021-12-05T11:17:45+00:00,"“I wish you all the joy that you can wish”
-The Merchant of Venice, Act 3, Scene 2 
@DisneyBard 
#ShakespeareSunday https://t.co/xXwOp6rEW0",1467453133957775363,Sonya Olds Som (she/her/hers),1,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",['ShakespeareSunday'],15053,4072,1
46493,2021-12-05T08:18:04+00:00,"I'm honestly having a great weekend though, so amazing to see so many folks again and share joy and enthusiasm and art and community 🐛💖 Keep being strange &amp; don't ever change!",1467407913861976064,MOTH👑MONARCH @ COMMS OPEN mothmonar.ch/#comms,0,0,18,0,"[-87.896102, 41.973825]","Rosemont, IL",0,5267,252,1
46730,2021-12-05T06:52:41+00:00,"watching #TikTikBOOM was so fun. @Lin_Manuel left us so many easter eggs which were such a joy, but the one i especially appreciated, being a @freestylelove stan, was @UTKtheINC exclaiming “sun… RISE”. 

I SEE Y’ALL.",1467386426635468801,Sana Shahid,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",['TikTikBOOM'],507,873,1
46776,2021-12-05T06:45:07+00:00,"It was was joy meeting one of my Twitter followers tonight, he rock in person and a true gem @slim_alexander.",1467384524539666433,Caribbean Infused,1,0,1,0,"[-87.860054, 41.732715]","Justice, IL",0,936,2855,1
47178,2021-12-05T05:29:21+00:00,So much joy in seeing a band that just keeps getting better. It’s been more than a decade since I first saw @dawestheband and they continue to surprise. #dawes #chicago #livemusic #thevictheatre https://t.co/6GrUBG3Ugh,1467365456520613890,Deb Filcman,0,1,0,2,"[-87.65374, 41.93952]","Chicago, IL","['dawes', 'chicago', 'livemusic', 'thevictheatre']",1339,2258,1
48600,2021-12-05T03:06:32+00:00,@murrminks He’s been an absolute joy to watch for Chicago.,1467329514074255360,David Ruiz,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,1462,2856,1
49435,2021-12-05T01:44:36+00:00,How to heal a broken heart… Help bring joy to others 🎄@mbmhmc https://t.co/WfRthdcUoI,1467308896050204675,AmyBoylePhoto 📸🎙🗣👩🏻‍💻,0,0,15,0,"[-87.940033, 41.644102]","Chicago, IL",0,1397,3233,1
